fold,fold_count,chord_type,count,proportion
1,663,aug,165,0.248868778280543
1,663,dim,166,0.25037707390648567
1,663,major,166,0.25037707390648567
1,663,minor,166,0.25037707390648567
2,663,aug,165,0.248868778280543
2,663,dim,166,0.25037707390648567
2,663,major,166,0.25037707390648567
2,663,minor,166,0.25037707390648567
3,663,aug,165,0.248868778280543
3,663,dim,166,0.25037707390648567
3,663,major,166,0.25037707390648567
3,663,minor,166,0.25037707390648567
4,663,aug,165,0.248868778280543
4,663,dim,166,0.25037707390648567
4,663,major,166,0.25037707390648567
4,663,minor,166,0.25037707390648567
5,663,aug,166,0.25037707390648567
5,663,dim,166,0.25037707390648567
5,663,major,166,0.25037707390648567
5,663,minor,165,0.248868778280543
6,663,aug,166,0.25037707390648567
6,663,dim,166,0.25037707390648567
6,663,major,166,0.25037707390648567
6,663,minor,165,0.248868778280543
7,663,aug,166,0.25037707390648567
7,663,dim,166,0.25037707390648567
7,663,major,166,0.25037707390648567
7,663,minor,165,0.248868778280543
8,663,aug,166,0.25037707390648567
8,663,dim,166,0.25037707390648567
8,663,major,166,0.25037707390648567
8,663,minor,165,0.248868778280543
9,662,aug,166,0.25075528700906347
9,662,dim,165,0.24924471299093656
9,662,major,166,0.25075528700906347
9,662,minor,165,0.24924471299093656
10,662,aug,166,0.25075528700906347
10,662,dim,165,0.24924471299093656
10,662,major,166,0.25075528700906347
10,662,minor,165,0.24924471299093656
11,662,aug,166,0.25075528700906347
11,662,dim,165,0.24924471299093656
11,662,major,166,0.25075528700906347
11,662,minor,165,0.24924471299093656
12,662,aug,166,0.25075528700906347
12,662,dim,165,0.24924471299093656
12,662,major,166,0.25075528700906347
12,662,minor,165,0.24924471299093656
13,662,aug,166,0.25075528700906347
13,662,dim,165,0.24924471299093656
13,662,major,165,0.24924471299093656
13,662,minor,166,0.25075528700906347
14,662,aug,166,0.25075528700906347
14,662,dim,165,0.24924471299093656
14,662,major,165,0.24924471299093656
14,662,minor,166,0.25075528700906347
15,662,aug,166,0.25075528700906347
15,662,dim,165,0.24924471299093656
15,662,major,165,0.24924471299093656
15,662,minor,166,0.25075528700906347
16,662,aug,166,0.25075528700906347
16,662,dim,165,0.24924471299093656
16,662,major,165,0.24924471299093656
16,662,minor,166,0.25075528700906347
17,662,aug,165,0.24924471299093656
17,662,dim,166,0.25075528700906347
17,662,major,165,0.24924471299093656
17,662,minor,166,0.25075528700906347
18,662,aug,165,0.24924471299093656
18,662,dim,166,0.25075528700906347
18,662,major,165,0.24924471299093656
18,662,minor,166,0.25075528700906347
19,662,aug,165,0.24924471299093656
19,662,dim,166,0.25075528700906347
19,662,major,165,0.24924471299093656
19,662,minor,166,0.25075528700906347
20,662,aug,165,0.24924471299093656
20,662,dim,166,0.25075528700906347
20,662,major,165,0.24924471299093656
20,662,minor,166,0.25075528700906347
