set_type,set_type_count,midi_program_num,count,proportion
test,2316,0,30,0.012953367875647668
test,2316,1,14,0.006044905008635578
test,2316,2,25,0.01079447322970639
test,2316,3,27,0.011658031088082901
test,2316,4,26,0.011226252158894645
test,2316,5,25,0.01079447322970639
test,2316,6,25,0.01079447322970639
test,2316,7,30,0.012953367875647668
test,2316,10,24,0.010362694300518133
test,2316,11,26,0.011226252158894645
test,2316,12,29,0.012521588946459413
test,2316,13,24,0.010362694300518133
test,2316,15,20,0.008635578583765112
test,2316,16,19,0.008203799654576856
test,2316,17,19,0.008203799654576856
test,2316,18,20,0.008635578583765112
test,2316,19,22,0.009499136442141624
test,2316,20,22,0.009499136442141624
test,2316,24,24,0.010362694300518133
test,2316,25,25,0.01079447322970639
test,2316,26,28,0.012089810017271156
test,2316,27,23,0.009930915371329879
test,2316,28,18,0.007772020725388601
test,2316,29,23,0.009930915371329879
test,2316,30,26,0.011226252158894645
test,2316,32,31,0.013385146804835924
test,2316,33,33,0.014248704663212434
test,2316,34,24,0.010362694300518133
test,2316,35,23,0.009930915371329879
test,2316,36,27,0.011658031088082901
test,2316,37,19,0.008203799654576856
test,2316,38,24,0.010362694300518133
test,2316,39,26,0.011226252158894645
test,2316,40,23,0.009930915371329879
test,2316,41,26,0.011226252158894645
test,2316,42,32,0.013816925734024179
test,2316,43,22,0.009499136442141624
test,2316,44,30,0.012953367875647668
test,2316,45,27,0.011658031088082901
test,2316,46,24,0.010362694300518133
test,2316,48,22,0.009499136442141624
test,2316,49,20,0.008635578583765112
test,2316,50,27,0.011658031088082901
test,2316,51,27,0.011658031088082901
test,2316,52,28,0.012089810017271156
test,2316,53,25,0.01079447322970639
test,2316,54,33,0.014248704663212434
test,2316,56,25,0.01079447322970639
test,2316,57,34,0.01468048359240069
test,2316,58,22,0.009499136442141624
test,2316,59,20,0.008635578583765112
test,2316,60,28,0.012089810017271156
test,2316,61,27,0.011658031088082901
test,2316,62,30,0.012953367875647668
test,2316,63,26,0.011226252158894645
test,2316,64,17,0.007340241796200345
test,2316,65,22,0.009499136442141624
test,2316,66,27,0.011658031088082901
test,2316,67,28,0.012089810017271156
test,2316,68,19,0.008203799654576856
test,2316,69,25,0.01079447322970639
test,2316,70,19,0.008203799654576856
test,2316,71,22,0.009499136442141624
test,2316,72,26,0.011226252158894645
test,2316,73,17,0.007340241796200345
test,2316,74,19,0.008203799654576856
test,2316,75,29,0.012521588946459413
test,2316,76,28,0.012089810017271156
test,2316,79,23,0.009930915371329879
test,2316,80,29,0.012521588946459413
test,2316,81,19,0.008203799654576856
test,2316,82,29,0.012521588946459413
test,2316,83,30,0.012953367875647668
test,2316,84,31,0.013385146804835924
test,2316,85,27,0.011658031088082901
test,2316,87,24,0.010362694300518133
test,2316,88,30,0.012953367875647668
test,2316,89,24,0.010362694300518133
test,2316,90,30,0.012953367875647668
test,2316,91,30,0.012953367875647668
test,2316,92,24,0.010362694300518133
test,2316,93,25,0.01079447322970639
test,2316,94,26,0.011226252158894645
test,2316,95,27,0.011658031088082901
test,2316,104,24,0.010362694300518133
test,2316,105,22,0.009499136442141624
test,2316,106,35,0.015112262521588945
test,2316,107,28,0.012089810017271156
test,2316,108,27,0.011658031088082901
test,2316,109,18,0.007772020725388601
test,2316,110,28,0.012089810017271156
test,2316,111,29,0.012521588946459413
train,10822,0,117,0.01081131029384587
train,10822,1,128,0.011827758270190353
train,10822,2,116,0.010718905932360008
train,10822,3,121,0.011180927739789319
train,10822,4,110,0.010164479763444836
train,10822,5,121,0.011180927739789319
train,10822,6,114,0.010534097209388284
train,10822,7,117,0.01081131029384587
train,10822,10,115,0.010626501570874145
train,10822,11,124,0.011458140824246905
train,10822,12,119,0.010996119016817595
train,10822,13,123,0.011365736462761043
train,10822,15,119,0.010996119016817595
train,10822,16,128,0.011827758270190353
train,10822,17,129,0.011920162631676216
train,10822,18,124,0.011458140824246905
train,10822,19,128,0.011827758270190353
train,10822,20,125,0.011550545185732767
train,10822,24,112,0.01034928848641656
train,10822,25,114,0.010534097209388284
train,10822,26,112,0.01034928848641656
train,10822,27,121,0.011180927739789319
train,10822,28,122,0.011273332101275181
train,10822,29,125,0.011550545185732767
train,10822,30,122,0.011273332101275181
train,10822,32,115,0.010626501570874145
train,10822,33,113,0.01044169284790242
train,10822,34,129,0.011920162631676216
train,10822,35,121,0.011180927739789319
train,10822,36,117,0.01081131029384587
train,10822,37,117,0.01081131029384587
train,10822,38,118,0.010903714655331732
train,10822,39,115,0.010626501570874145
train,10822,40,114,0.010534097209388284
train,10822,41,109,0.010072075401958973
train,10822,42,108,0.00997967104047311
train,10822,43,119,0.010996119016817595
train,10822,44,107,0.009887266678987249
train,10822,45,118,0.010903714655331732
train,10822,46,118,0.010903714655331732
train,10822,48,116,0.010718905932360008
train,10822,49,124,0.011458140824246905
train,10822,50,122,0.011273332101275181
train,10822,51,118,0.010903714655331732
train,10822,52,109,0.010072075401958973
train,10822,53,115,0.010626501570874145
train,10822,54,118,0.010903714655331732
train,10822,56,121,0.011180927739789319
train,10822,57,107,0.009887266678987249
train,10822,58,119,0.010996119016817595
train,10822,59,119,0.010996119016817595
train,10822,60,113,0.01044169284790242
train,10822,61,114,0.010534097209388284
train,10822,62,119,0.010996119016817595
train,10822,63,118,0.010903714655331732
train,10822,64,132,0.012197375716133801
