set_type,set_type_count,root_note_name,count,proportion
test,1986,A,151,0.07603222557905337
test,1986,A#,175,0.08811681772406849
test,1986,B,164,0.08257804632426989
test,1986,C,169,0.0850956696878147
test,1986,C#,146,0.07351460221550855
test,1986,D,168,0.08459214501510574
test,1986,D#,159,0.08006042296072508
test,1986,E,183,0.09214501510574018
test,1986,F,166,0.08358509566968782
test,1986,F#,187,0.09415911379657603
test,1986,G,161,0.081067472306143
test,1986,G#,157,0.07905337361530715
train,9276,A,786,0.08473479948253558
train,9276,A#,760,0.08193186718413109
train,9276,B,775,0.08354894351013369
train,9276,C,772,0.08322552824493316
train,9276,C#,797,0.08592065545493748
train,9276,D,770,0.08300991806813282
train,9276,D#,792,0.08538163001293661
train,9276,E,737,0.07945235015092712
train,9276,F,767,0.0826865028029323
train,9276,F#,764,0.08236308753773178
train,9276,G,784,0.08451918930573524
train,9276,G#,772,0.08322552824493316
valid,1986,A,167,0.08408862034239678
valid,1986,A#,169,0.0850956696878147
valid,1986,B,165,0.08308157099697885
valid,1986,C,163,0.08207452165156093
valid,1986,C#,161,0.081067472306143
valid,1986,D,166,0.08358509566968782
valid,1986,D#,153,0.0770392749244713
valid,1986,E,184,0.09264853977844914
valid,1986,F,171,0.08610271903323263
valid,1986,F#,153,0.0770392749244713
valid,1986,G,159,0.08006042296072508
valid,1986,G#,175,0.08811681772406849
