fold,fold_count,root_note_is_accidental,count,proportion
1,497,false,291,0.585513078470825
1,497,true,206,0.4144869215291751
2,497,false,291,0.585513078470825
2,497,true,206,0.4144869215291751
3,497,false,291,0.585513078470825
3,497,true,206,0.4144869215291751
4,497,false,291,0.585513078470825
4,497,true,206,0.4144869215291751
5,497,false,289,0.5814889336016097
5,497,true,208,0.41851106639839036
6,497,false,289,0.5814889336016097
6,497,true,208,0.41851106639839036
7,497,false,289,0.5814889336016097
7,497,true,208,0.41851106639839036
8,497,false,289,0.5814889336016097
8,497,true,208,0.41851106639839036
9,497,false,288,0.579476861167002
9,497,true,209,0.420523138832998
10,497,false,288,0.579476861167002
10,497,true,209,0.420523138832998
11,497,false,288,0.579476861167002
11,497,true,209,0.420523138832998
12,497,false,288,0.579476861167002
12,497,true,209,0.420523138832998
13,497,false,290,0.5835010060362174
13,497,true,207,0.4164989939637827
14,497,false,290,0.5835010060362174
14,497,true,207,0.4164989939637827
15,497,false,290,0.5835010060362174
15,497,true,207,0.4164989939637827
16,497,false,290,0.5835010060362174
16,497,true,207,0.4164989939637827
17,496,false,291,0.5866935483870968
17,496,true,205,0.4133064516129032
18,496,false,291,0.5866935483870968
18,496,true,205,0.4133064516129032
19,496,false,291,0.5866935483870968
19,496,true,205,0.4133064516129032
20,496,false,291,0.5866935483870968
20,496,true,205,0.4133064516129032
