fold,fold_count,root_note_name,count,proportion
1,1988,A,173,0.08702213279678069
1,1988,A#,183,0.0920523138832998
1,1988,B,150,0.07545271629778673
1,1988,C,174,0.0875251509054326
1,1988,C#,170,0.08551307847082495
1,1988,D,173,0.08702213279678069
1,1988,D#,167,0.08400402414486922
1,1988,E,149,0.07494969818913481
1,1988,F,165,0.0829979879275654
1,1988,F#,162,0.08148893360160966
1,1988,G,170,0.08551307847082495
1,1988,G#,152,0.07645875251509054
2,1988,A,154,0.07746478873239437
2,1988,A#,159,0.07997987927565393
2,1988,B,168,0.08450704225352114
2,1988,C,182,0.09154929577464789
2,1988,C#,177,0.08903420523138834
2,1988,D,159,0.07997987927565393
2,1988,D#,169,0.08501006036217304
2,1988,E,179,0.09004024144869216
2,1988,F,145,0.07293762575452717
2,1988,F#,164,0.0824949698189135
2,1988,G,180,0.09054325955734407
2,1988,G#,152,0.07645875251509054
3,1988,A,164,0.0824949698189135
3,1988,A#,189,0.09507042253521128
3,1988,B,161,0.08098591549295775
3,1988,C,158,0.07947686116700202
3,1988,C#,160,0.08048289738430583
3,1988,D,154,0.07746478873239437
3,1988,D#,179,0.09004024144869216
3,1988,E,159,0.07997987927565393
3,1988,F,157,0.0789738430583501
3,1988,F#,175,0.08802816901408451
3,1988,G,177,0.08903420523138834
3,1988,G#,155,0.07796780684104629
4,1988,A,151,0.07595573440643864
4,1988,A#,169,0.08501006036217304
4,1988,B,164,0.0824949698189135
4,1988,C,183,0.0920523138832998
4,1988,C#,145,0.07293762575452717
4,1988,D,155,0.07796780684104629
4,1988,D#,165,0.0829979879275654
4,1988,E,158,0.07947686116700202
4,1988,F,171,0.08601609657947687
4,1988,F#,181,0.09104627766599599
4,1988,G,161,0.08098591549295775
4,1988,G#,185,0.09305835010060363
5,1987,A,162,0.08152994464016104
5,1987,A#,164,0.08253648716658278
5,1987,B,164,0.08253648716658278
5,1987,C,192,0.09662808253648716
5,1987,C#,164,0.08253648716658278
5,1987,D,153,0.0770005032712632
5,1987,D#,124,0.06240563663814796
5,1987,E,164,0.08253648716658278
5,1987,F,161,0.08102667337695017
5,1987,F#,168,0.08454957221942627
5,1987,G,189,0.09511826874685456
5,1987,G#,182,0.09159536990437846
6,1987,A,177,0.08907901358832411
6,1987,A#,155,0.07800704579768496
6,1987,B,165,0.08303975842979365
6,1987,C,164,0.08253648716658278
6,1987,C#,172,0.08656265727226975
6,1987,D,152,0.07649723200805233
6,1987,D#,173,0.08706592853548062
6,1987,E,170,0.08555611474584801
6,1987,F,166,0.08354302969300453
6,1987,F#,171,0.08605938600905888
6,1987,G,144,0.07247106190236538
6,1987,G#,178,0.08958228485153498
7,1987,A,182,0.09159536990437846
7,1987,A#,165,0.08303975842979365
7,1987,B,187,0.09411172622043282
7,1987,C,160,0.0805234021137393
7,1987,C#,171,0.08605938600905888
7,1987,D,155,0.07800704579768496
7,1987,D#,156,0.07851031706089583
7,1987,E,160,0.0805234021137393
7,1987,F,180,0.09058882737795672
7,1987,F#,152,0.07649723200805233
7,1987,G,162,0.08152994464016104
7,1987,G#,157,0.0790135883241067
8,1987,A,151,0.07599396074484147
8,1987,A#,173,0.08706592853548062
8,1987,B,173,0.08706592853548062
8,1987,C,152,0.07649723200805233
8,1987,C#,178,0.08958228485153498
8,1987,D,171,0.08605938600905888
8,1987,D#,178,0.08958228485153498
8,1987,E,162,0.08152994464016104
8,1987,F,163,0.08203321590337191
8,1987,F#,144,0.07247106190236538
8,1987,G,182,0.09159536990437846
8,1987,G#,160,0.0805234021137393
9,1987,A,179,0.09008555611474585
9,1987,A#,129,0.06492199295420231
9,1987,B,176,0.08857574232511323
9,1987,C,162,0.08152994464016104
9,1987,C#,163,0.08203321590337191
9,1987,D,162,0.08152994464016104
9,1987,D#,172,0.08656265727226975
9,1987,E,157,0.0790135883241067
9,1987,F,180,0.09058882737795672
9,1987,F#,179,0.09008555611474585
9,1987,G,155,0.07800704579768496
9,1987,G#,173,0.08706592853548062
10,1987,A,177,0.08907901358832411
10,1987,A#,166,0.08354302969300453
10,1987,B,181,0.09109209864116759
10,1987,C,171,0.08605938600905888
10,1987,C#,165,0.08303975842979365
10,1987,D,173,0.08706592853548062
10,1987,D#,164,0.08253648716658278
10,1987,E,149,0.07498741821841973
10,1987,F,169,0.08505284348263714
10,1987,F#,162,0.08152994464016104
10,1987,G,148,0.07448414695520886
10,1987,G#,162,0.08152994464016104
11,1987,A,163,0.08203321590337191
11,1987,A#,182,0.09159536990437846
11,1987,B,168,0.08454957221942627
11,1987,C,150,0.0754906894816306
11,1987,C#,163,0.08203321590337191
11,1987,D,170,0.08555611474584801
11,1987,D#,165,0.08303975842979365
11,1987,E,175,0.08807247106190236
11,1987,F,158,0.07951685958731756
11,1987,F#,163,0.08203321590337191
11,1987,G,171,0.08605938600905888
11,1987,G#,159,0.08002013085052843
12,1987,A,172,0.08656265727226975
12,1987,A#,158,0.07951685958731756
12,1987,B,156,0.07851031706089583
12,1987,C,170,0.08555611474584801
12,1987,C#,172,0.08656265727226975
12,1987,D,183,0.09209864116758933
12,1987,D#,134,0.06743834927025667
12,1987,E,164,0.08253648716658278
12,1987,F,161,0.08102667337695017
12,1987,F#,169,0.08505284348263714
12,1987,G,180,0.09058882737795672
12,1987,G#,168,0.08454957221942627
13,1987,A,164,0.08253648716658278
13,1987,A#,171,0.08605938600905888
13,1987,B,172,0.08656265727226975
13,1987,C,159,0.08002013085052843
13,1987,C#,178,0.08958228485153498
13,1987,D,178,0.08958228485153498
