fold,fold_count,orig_prog,count,proportion
1,1049,maj-1451,56,0.053384175405147755
1,1049,maj-1465,55,0.052430886558627265
1,1049,maj-1564,55,0.052430886558627265
1,1049,maj-1645,55,0.052430886558627265
1,1049,maj-2516,55,0.052430886558627265
1,1049,maj-4156,56,0.053384175405147755
1,1049,maj-4536,55,0.052430886558627265
1,1049,maj-5415,55,0.052430886558627265
1,1049,maj-5641,55,0.052430886558627265
1,1049,maj-6415,55,0.052430886558627265
1,1049,min-1251,56,0.053384175405147755
1,1049,min-1341,55,0.052430886558627265
1,1049,min-1451,55,0.052430886558627265
1,1049,min-1637,55,0.052430886558627265
1,1049,min-1671,55,0.052430886558627265
1,1049,min-1673,56,0.053384175405147755
1,1049,min-1764,55,0.052430886558627265
1,1049,min-4711,55,0.052430886558627265
1,1049,min-7671,55,0.052430886558627265
2,1049,maj-1451,56,0.053384175405147755
2,1049,maj-1465,55,0.052430886558627265
2,1049,maj-1564,55,0.052430886558627265
2,1049,maj-1645,55,0.052430886558627265
2,1049,maj-2516,55,0.052430886558627265
2,1049,maj-4156,56,0.053384175405147755
2,1049,maj-4536,55,0.052430886558627265
2,1049,maj-5415,55,0.052430886558627265
2,1049,maj-5641,55,0.052430886558627265
2,1049,maj-6415,55,0.052430886558627265
2,1049,min-1251,56,0.053384175405147755
2,1049,min-1341,55,0.052430886558627265
2,1049,min-1451,55,0.052430886558627265
2,1049,min-1637,55,0.052430886558627265
2,1049,min-1671,55,0.052430886558627265
2,1049,min-1673,56,0.053384175405147755
2,1049,min-1764,55,0.052430886558627265
2,1049,min-4711,55,0.052430886558627265
2,1049,min-7671,55,0.052430886558627265
3,1049,maj-1451,56,0.053384175405147755
3,1049,maj-1465,55,0.052430886558627265
3,1049,maj-1564,55,0.052430886558627265
3,1049,maj-1645,55,0.052430886558627265
3,1049,maj-2516,55,0.052430886558627265
3,1049,maj-4156,56,0.053384175405147755
3,1049,maj-4536,55,0.052430886558627265
3,1049,maj-5415,55,0.052430886558627265
3,1049,maj-5641,55,0.052430886558627265
3,1049,maj-6415,55,0.052430886558627265
3,1049,min-1251,56,0.053384175405147755
3,1049,min-1341,55,0.052430886558627265
3,1049,min-1451,55,0.052430886558627265
3,1049,min-1637,55,0.052430886558627265
3,1049,min-1671,55,0.052430886558627265
3,1049,min-1673,56,0.053384175405147755
3,1049,min-1764,55,0.052430886558627265
3,1049,min-4711,55,0.052430886558627265
3,1049,min-7671,55,0.052430886558627265
4,1049,maj-1451,56,0.053384175405147755
4,1049,maj-1465,55,0.052430886558627265
4,1049,maj-1564,55,0.052430886558627265
4,1049,maj-1645,55,0.052430886558627265
4,1049,maj-2516,55,0.052430886558627265
4,1049,maj-4156,56,0.053384175405147755
4,1049,maj-4536,55,0.052430886558627265
4,1049,maj-5415,55,0.052430886558627265
4,1049,maj-5641,55,0.052430886558627265
4,1049,maj-6415,55,0.052430886558627265
4,1049,min-1251,56,0.053384175405147755
4,1049,min-1341,55,0.052430886558627265
4,1049,min-1451,55,0.052430886558627265
4,1049,min-1637,55,0.052430886558627265
4,1049,min-1671,55,0.052430886558627265
4,1049,min-1673,56,0.053384175405147755
4,1049,min-1764,55,0.052430886558627265
4,1049,min-4711,55,0.052430886558627265
4,1049,min-7671,55,0.052430886558627265
5,1049,maj-1451,55,0.052430886558627265
5,1049,maj-1465,56,0.053384175405147755
5,1049,maj-1564,55,0.052430886558627265
5,1049,maj-1645,55,0.052430886558627265
5,1049,maj-2516,55,0.052430886558627265
5,1049,maj-4156,55,0.052430886558627265
5,1049,maj-4536,56,0.053384175405147755
5,1049,maj-5415,55,0.052430886558627265
5,1049,maj-5641,55,0.052430886558627265
5,1049,maj-6415,55,0.052430886558627265
5,1049,min-1251,55,0.052430886558627265
5,1049,min-1341,56,0.053384175405147755
5,1049,min-1451,55,0.052430886558627265
5,1049,min-1637,55,0.052430886558627265
5,1049,min-1671,55,0.052430886558627265
5,1049,min-1673,55,0.052430886558627265
5,1049,min-1764,56,0.053384175405147755
5,1049,min-4711,55,0.052430886558627265
5,1049,min-7671,55,0.052430886558627265
6,1049,maj-1451,55,0.052430886558627265
6,1049,maj-1465,56,0.053384175405147755
6,1049,maj-1564,55,0.052430886558627265
6,1049,maj-1645,55,0.052430886558627265
6,1049,maj-2516,55,0.052430886558627265
6,1049,maj-4156,55,0.052430886558627265
6,1049,maj-4536,56,0.053384175405147755
6,1049,maj-5415,55,0.052430886558627265
6,1049,maj-5641,55,0.052430886558627265
6,1049,maj-6415,55,0.052430886558627265
6,1049,min-1251,55,0.052430886558627265
6,1049,min-1341,56,0.053384175405147755
6,1049,min-1451,55,0.052430886558627265
6,1049,min-1637,55,0.052430886558627265
6,1049,min-1671,55,0.052430886558627265
6,1049,min-1673,55,0.052430886558627265
6,1049,min-1764,56,0.053384175405147755
6,1049,min-4711,55,0.052430886558627265
6,1049,min-7671,55,0.052430886558627265
7,1049,maj-1451,55,0.052430886558627265
7,1049,maj-1465,56,0.053384175405147755
7,1049,maj-1564,55,0.052430886558627265
7,1049,maj-1645,55,0.052430886558627265
7,1049,maj-2516,55,0.052430886558627265
7,1049,maj-4156,55,0.052430886558627265
7,1049,maj-4536,56,0.053384175405147755
7,1049,maj-5415,55,0.052430886558627265
7,1049,maj-5641,55,0.052430886558627265
7,1049,maj-6415,55,0.052430886558627265
7,1049,min-1251,55,0.052430886558627265
7,1049,min-1341,56,0.053384175405147755
7,1049,min-1451,55,0.052430886558627265
7,1049,min-1637,55,0.052430886558627265
7,1049,min-1671,55,0.052430886558627265
7,1049,min-1673,55,0.052430886558627265
7,1049,min-1764,56,0.053384175405147755
7,1049,min-4711,55,0.052430886558627265
7,1049,min-7671,55,0.052430886558627265
8,1049,maj-1451,55,0.052430886558627265
8,1049,maj-1465,56,0.053384175405147755
8,1049,maj-1564,55,0.052430886558627265
8,1049,maj-1645,55,0.052430886558627265
8,1049,maj-2516,55,0.052430886558627265
8,1049,maj-4156,55,0.052430886558627265
8,1049,maj-4536,56,0.053384175405147755
8,1049,maj-5415,55,0.052430886558627265
8,1049,maj-5641,55,0.052430886558627265
8,1049,maj-6415,55,0.052430886558627265
8,1049,min-1251,55,0.052430886558627265
8,1049,min-1341,56,0.053384175405147755
8,1049,min-1451,55,0.052430886558627265
8,1049,min-1637,55,0.052430886558627265
8,1049,min-1671,55,0.052430886558627265
8,1049,min-1673,55,0.052430886558627265
8,1049,min-1764,56,0.053384175405147755
8,1049,min-4711,55,0.052430886558627265
8,1049,min-7671,55,0.052430886558627265
9,1049,maj-1451,55,0.052430886558627265
9,1049,maj-1465,55,0.052430886558627265
9,1049,maj-1564,56,0.053384175405147755
9,1049,maj-1645,55,0.052430886558627265
9,1049,maj-2516,55,0.052430886558627265
9,1049,maj-4156,55,0.052430886558627265
9,1049,maj-4536,55,0.052430886558627265
9,1049,maj-5415,56,0.053384175405147755
9,1049,maj-5641,55,0.052430886558627265
9,1049,maj-6415,55,0.052430886558627265
9,1049,min-1251,55,0.052430886558627265
9,1049,min-1341,55,0.052430886558627265
9,1049,min-1451,56,0.053384175405147755
9,1049,min-1637,55,0.052430886558627265
9,1049,min-1671,55,0.052430886558627265
9,1049,min-1673,55,0.052430886558627265
9,1049,min-1764,55,0.052430886558627265
9,1049,min-4711,56,0.053384175405147755
9,1049,min-7671,55,0.052430886558627265
10,1049,maj-1451,55,0.052430886558627265
10,1049,maj-1465,55,0.052430886558627265
10,1049,maj-1564,56,0.053384175405147755
10,1049,maj-1645,55,0.052430886558627265
10,1049,maj-2516,55,0.052430886558627265
10,1049,maj-4156,55,0.052430886558627265
10,1049,maj-4536,55,0.052430886558627265
10,1049,maj-5415,56,0.053384175405147755
10,1049,maj-5641,55,0.052430886558627265
10,1049,maj-6415,55,0.052430886558627265
10,1049,min-1251,55,0.052430886558627265
10,1049,min-1341,55,0.052430886558627265
10,1049,min-1451,56,0.053384175405147755
10,1049,min-1637,55,0.052430886558627265
10,1049,min-1671,55,0.052430886558627265
10,1049,min-1673,55,0.052430886558627265
10,1049,min-1764,55,0.052430886558627265
10,1049,min-4711,56,0.053384175405147755
10,1049,min-7671,55,0.052430886558627265
11,1049,maj-1451,55,0.052430886558627265
11,1049,maj-1465,55,0.052430886558627265
11,1049,maj-1564,56,0.053384175405147755
11,1049,maj-1645,55,0.052430886558627265
11,1049,maj-2516,55,0.052430886558627265
11,1049,maj-4156,55,0.052430886558627265
11,1049,maj-4536,55,0.052430886558627265
11,1049,maj-5415,56,0.053384175405147755
11,1049,maj-5641,55,0.052430886558627265
11,1049,maj-6415,55,0.052430886558627265
11,1049,min-1251,55,0.052430886558627265
11,1049,min-1341,55,0.052430886558627265
11,1049,min-1451,56,0.053384175405147755
11,1049,min-1637,55,0.052430886558627265
11,1049,min-1671,55,0.052430886558627265
11,1049,min-1673,55,0.052430886558627265
11,1049,min-1764,55,0.052430886558627265
11,1049,min-4711,56,0.053384175405147755
11,1049,min-7671,55,0.052430886558627265
12,1049,maj-1451,55,0.052430886558627265
12,1049,maj-1465,55,0.052430886558627265
12,1049,maj-1564,56,0.053384175405147755
12,1049,maj-1645,55,0.052430886558627265
12,1049,maj-2516,55,0.052430886558627265
12,1049,maj-4156,55,0.052430886558627265
12,1049,maj-4536,55,0.052430886558627265
12,1049,maj-5415,56,0.053384175405147755
12,1049,maj-5641,55,0.052430886558627265
12,1049,maj-6415,55,0.052430886558627265
12,1049,min-1251,55,0.052430886558627265
12,1049,min-1341,55,0.052430886558627265
12,1049,min-1451,56,0.053384175405147755
12,1049,min-1637,55,0.052430886558627265
12,1049,min-1671,55,0.052430886558627265
12,1049,min-1673,55,0.052430886558627265
12,1049,min-1764,55,0.052430886558627265
12,1049,min-4711,56,0.053384175405147755
12,1049,min-7671,55,0.052430886558627265
13,1049,maj-1451,55,0.052430886558627265
13,1049,maj-1465,55,0.052430886558627265
13,1049,maj-1564,55,0.052430886558627265
13,1049,maj-1645,56,0.053384175405147755
13,1049,maj-2516,55,0.052430886558627265
13,1049,maj-4156,55,0.052430886558627265
13,1049,maj-4536,55,0.052430886558627265
13,1049,maj-5415,55,0.052430886558627265
13,1049,maj-5641,56,0.053384175405147755
13,1049,maj-6415,55,0.052430886558627265
13,1049,min-1251,55,0.052430886558627265
13,1049,min-1341,55,0.052430886558627265
13,1049,min-1451,55,0.052430886558627265
13,1049,min-1637,56,0.053384175405147755
13,1049,min-1671,55,0.052430886558627265
13,1049,min-1673,55,0.052430886558627265
13,1049,min-1764,55,0.052430886558627265
13,1049,min-4711,55,0.052430886558627265
13,1049,min-7671,56,0.053384175405147755
14,1049,maj-1451,55,0.052430886558627265
14,1049,maj-1465,55,0.052430886558627265
14,1049,maj-1564,55,0.052430886558627265
14,1049,maj-1645,56,0.053384175405147755
14,1049,maj-2516,55,0.052430886558627265
14,1049,maj-4156,55,0.052430886558627265
14,1049,maj-4536,55,0.052430886558627265
14,1049,maj-5415,55,0.052430886558627265
14,1049,maj-5641,56,0.053384175405147755
14,1049,maj-6415,55,0.052430886558627265
14,1049,min-1251,55,0.052430886558627265
14,1049,min-1341,55,0.052430886558627265
14,1049,min-1451,55,0.052430886558627265
14,1049,min-1637,56,0.053384175405147755
14,1049,min-1671,55,0.052430886558627265
14,1049,min-1673,55,0.052430886558627265
14,1049,min-1764,55,0.052430886558627265
14,1049,min-4711,55,0.052430886558627265
14,1049,min-7671,56,0.053384175405147755
15,1049,maj-1451,55,0.052430886558627265
15,1049,maj-1465,55,0.052430886558627265
15,1049,maj-1564,55,0.052430886558627265
15,1049,maj-1645,56,0.053384175405147755
15,1049,maj-2516,55,0.052430886558627265
15,1049,maj-4156,55,0.052430886558627265
15,1049,maj-4536,55,0.052430886558627265
15,1049,maj-5415,55,0.052430886558627265
15,1049,maj-5641,56,0.053384175405147755
15,1049,maj-6415,55,0.052430886558627265
15,1049,min-1251,55,0.052430886558627265
15,1049,min-1341,55,0.052430886558627265
15,1049,min-1451,55,0.052430886558627265
15,1049,min-1637,56,0.053384175405147755
15,1049,min-1671,55,0.052430886558627265
15,1049,min-1673,55,0.052430886558627265
15,1049,min-1764,55,0.052430886558627265
15,1049,min-4711,55,0.052430886558627265
15,1049,min-7671,56,0.053384175405147755
16,1049,maj-1451,55,0.052430886558627265
16,1049,maj-1465,55,0.052430886558627265
16,1049,maj-1564,55,0.052430886558627265
16,1049,maj-1645,56,0.053384175405147755
16,1049,maj-2516,55,0.052430886558627265
16,1049,maj-4156,55,0.052430886558627265
16,1049,maj-4536,55,0.052430886558627265
16,1049,maj-5415,55,0.052430886558627265
16,1049,maj-5641,56,0.053384175405147755
16,1049,maj-6415,55,0.052430886558627265
16,1049,min-1251,55,0.052430886558627265
16,1049,min-1341,55,0.052430886558627265
16,1049,min-1451,55,0.052430886558627265
16,1049,min-1637,56,0.053384175405147755
16,1049,min-1671,55,0.052430886558627265
16,1049,min-1673,55,0.052430886558627265
