fold,fold_count,midi_program_num,count,proportion
1,773,0,6,0.00776196636481242
1,773,1,6,0.00776196636481242
1,773,2,10,0.0129366106080207
1,773,3,10,0.0129366106080207
1,773,4,6,0.00776196636481242
1,773,5,6,0.00776196636481242
1,773,6,10,0.0129366106080207
1,773,7,14,0.01811125485122898
1,773,10,10,0.0129366106080207
1,773,11,11,0.014230271668822769
1,773,12,6,0.00776196636481242
1,773,13,6,0.00776196636481242
1,773,15,12,0.01552393272962484
1,773,16,10,0.0129366106080207
1,773,17,8,0.01034928848641656
1,773,18,14,0.01811125485122898
1,773,19,10,0.0129366106080207
1,773,20,6,0.00776196636481242
1,773,24,11,0.014230271668822769
1,773,25,7,0.00905562742561449
1,773,26,7,0.00905562742561449
1,773,27,12,0.01552393272962484
1,773,28,4,0.00517464424320828
1,773,29,5,0.00646830530401035
1,773,30,12,0.01552393272962484
1,773,32,7,0.00905562742561449
1,773,33,11,0.014230271668822769
1,773,34,8,0.01034928848641656
1,773,35,7,0.00905562742561449
1,773,36,10,0.0129366106080207
1,773,37,9,0.01164294954721863
1,773,38,11,0.014230271668822769
1,773,39,9,0.01164294954721863
1,773,40,7,0.00905562742561449
1,773,41,10,0.0129366106080207
1,773,42,13,0.01681759379042691
1,773,43,15,0.01940491591203105
1,773,44,6,0.00776196636481242
1,773,45,3,0.00388098318240621
1,773,46,3,0.00388098318240621
1,773,48,9,0.01164294954721863
1,773,49,11,0.014230271668822769
1,773,50,9,0.01164294954721863
1,773,51,7,0.00905562742561449
1,773,52,5,0.00646830530401035
1,773,53,8,0.01034928848641656
1,773,54,9,0.01164294954721863
1,773,56,10,0.0129366106080207
1,773,57,6,0.00776196636481242
1,773,58,6,0.00776196636481242
1,773,59,7,0.00905562742561449
1,773,60,11,0.014230271668822769
1,773,61,10,0.0129366106080207
1,773,62,12,0.01552393272962484
1,773,63,8,0.01034928848641656
1,773,64,6,0.00776196636481242
1,773,65,6,0.00776196636481242
1,773,66,6,0.00776196636481242
1,773,67,7,0.00905562742561449
1,773,68,5,0.00646830530401035
1,773,69,8,0.01034928848641656
1,773,70,9,0.01164294954721863
1,773,71,7,0.00905562742561449
1,773,72,12,0.01552393272962484
1,773,73,8,0.01034928848641656
1,773,74,11,0.014230271668822769
1,773,75,8,0.01034928848641656
1,773,76,14,0.01811125485122898
1,773,79,8,0.01034928848641656
1,773,80,4,0.00517464424320828
1,773,81,12,0.01552393272962484
1,773,82,15,0.01940491591203105
1,773,83,4,0.00517464424320828
1,773,84,6,0.00776196636481242
1,773,85,6,0.00776196636481242
1,773,87,10,0.0129366106080207
1,773,88,3,0.00388098318240621
1,773,89,10,0.0129366106080207
1,773,90,8,0.01034928848641656
1,773,91,8,0.01034928848641656
1,773,92,7,0.00905562742561449
1,773,93,15,0.01940491591203105
1,773,94,7,0.00905562742561449
1,773,95,11,0.014230271668822769
1,773,104,7,0.00905562742561449
1,773,105,8,0.01034928848641656
1,773,106,8,0.01034928848641656
1,773,107,3,0.00388098318240621
1,773,108,9,0.01164294954721863
1,773,109,6,0.00776196636481242
1,773,110,9,0.01164294954721863
1,773,111,6,0.00776196636481242
2,773,0,6,0.00776196636481242
2,773,1,6,0.00776196636481242
2,773,2,6,0.00776196636481242
2,773,3,7,0.00905562742561449
2,773,4,9,0.01164294954721863
2,773,5,9,0.01164294954721863
2,773,6,10,0.0129366106080207
2,773,7,6,0.00776196636481242
2,773,10,10,0.0129366106080207
2,773,11,10,0.0129366106080207
2,773,12,6,0.00776196636481242
2,773,13,11,0.014230271668822769
2,773,15,9,0.01164294954721863
2,773,16,6,0.00776196636481242
2,773,17,9,0.01164294954721863
2,773,18,6,0.00776196636481242
2,773,19,14,0.01811125485122898
2,773,20,8,0.01034928848641656
2,773,24,4,0.00517464424320828
2,773,25,7,0.00905562742561449
2,773,26,8,0.01034928848641656
2,773,27,9,0.01164294954721863
2,773,28,11,0.014230271668822769
2,773,29,9,0.01164294954721863
2,773,30,12,0.01552393272962484
2,773,32,12,0.01552393272962484
2,773,33,10,0.0129366106080207
2,773,34,12,0.01552393272962484
2,773,35,9,0.01164294954721863
2,773,36,9,0.01164294954721863
2,773,37,11,0.014230271668822769
2,773,38,8,0.01034928848641656
2,773,39,4,0.00517464424320828
2,773,40,13,0.01681759379042691
2,773,41,4,0.00517464424320828
2,773,42,5,0.00646830530401035
2,773,43,6,0.00776196636481242
2,773,44,9,0.01164294954721863
2,773,45,8,0.01034928848641656
2,773,46,8,0.01034928848641656
2,773,48,18,0.02328589909443726
2,773,49,8,0.01034928848641656
