set_type,set_type_count,root_note_name,count,proportion
test,5961,A,479,0.08035564502600234
test,5961,A#,493,0.08270424425431974
test,5961,B,467,0.07834255997315887
test,5961,C,491,0.08236873007884582
test,5961,C#,462,0.07750377453447407
test,5961,D,521,0.08740144271095453
test,5961,D#,511,0.08572387183358496
test,5961,E,525,0.08807247106190236
test,5961,F,489,0.08203321590337191
test,5961,F#,543,0.09109209864116759
test,5961,G,490,0.08220097299110887
test,5961,G#,490,0.08220097299110887
train,27822,A,2322,0.08345913306016821
train,27822,A#,2330,0.08374667529293364
train,27822,B,2367,0.08507655811947379
train,27822,C,2349,0.08442958809575156
train,27822,C#,2346,0.08432175975846452
train,27822,D,2305,0.08284810581554165
train,27822,D#,2307,0.08291999137373302
train,27822,E,2276,0.08180576522176694
train,27822,F,2297,0.08256056358277622
train,27822,F#,2287,0.08220113579181942
train,27822,G,2325,0.08356696139745524
train,27822,G#,2311,0.08306376249011573
valid,5961,A,511,0.08572387183358496
valid,5961,A#,489,0.08203321590337191
valid,5961,B,478,0.08018788793826538
valid,5961,C,472,0.07918134541184364
valid,5961,C#,504,0.08454957221942626
valid,5961,D,486,0.08152994464016104
valid,5961,D#,494,0.08287200134205669
valid,5961,E,511,0.08572387183358496
valid,5961,F,526,0.08824022814963932
valid,5961,F#,482,0.08085891628921321
valid,5961,G,497,0.08337527260526757
valid,5961,G#,511,0.08572387183358496
