fold,fold_count,midi_program_num,count,proportion
1,1988,0,20,0.01006036217303823
1,1988,1,24,0.012072434607645876
1,1988,2,15,0.007545271629778673
1,1988,3,20,0.01006036217303823
1,1988,4,20,0.01006036217303823
1,1988,5,23,0.011569416498993965
1,1988,6,20,0.01006036217303823
1,1988,7,24,0.012072434607645876
1,1988,10,19,0.009557344064386318
1,1988,11,25,0.012575452716297788
1,1988,12,17,0.008551307847082495
1,1988,13,22,0.011066398390342054
1,1988,15,16,0.008048289738430584
1,1988,16,29,0.014587525150905434
1,1988,17,15,0.007545271629778673
1,1988,18,16,0.008048289738430584
1,1988,19,27,0.01358148893360161
1,1988,20,23,0.011569416498993965
1,1988,24,22,0.011066398390342054
1,1988,25,16,0.008048289738430584
1,1988,26,26,0.013078470824949699
1,1988,27,23,0.011569416498993965
1,1988,28,21,0.010563380281690142
1,1988,29,25,0.012575452716297788
1,1988,30,21,0.010563380281690142
1,1988,32,16,0.008048289738430584
1,1988,33,17,0.008551307847082495
1,1988,34,11,0.005533199195171027
1,1988,35,24,0.012072434607645876
1,1988,36,19,0.009557344064386318
1,1988,37,25,0.012575452716297788
1,1988,38,18,0.009054325955734407
1,1988,39,24,0.012072434607645876
1,1988,40,29,0.014587525150905434
1,1988,41,18,0.009054325955734407
1,1988,42,36,0.018108651911468814
1,1988,43,23,0.011569416498993965
1,1988,44,22,0.011066398390342054
1,1988,45,21,0.010563380281690142
1,1988,46,24,0.012072434607645876
1,1988,48,31,0.015593561368209257
1,1988,49,18,0.009054325955734407
1,1988,50,37,0.018611670020120725
1,1988,51,17,0.008551307847082495
1,1988,52,22,0.011066398390342054
1,1988,53,20,0.01006036217303823
1,1988,54,21,0.010563380281690142
1,1988,56,20,0.01006036217303823
1,1988,57,23,0.011569416498993965
1,1988,58,19,0.009557344064386318
1,1988,59,21,0.010563380281690142
1,1988,60,26,0.013078470824949699
1,1988,61,15,0.007545271629778673
1,1988,62,16,0.008048289738430584
1,1988,63,19,0.009557344064386318
1,1988,64,30,0.015090543259557346
1,1988,65,17,0.008551307847082495
1,1988,66,29,0.014587525150905434
1,1988,67,25,0.012575452716297788
1,1988,68,22,0.011066398390342054
1,1988,69,24,0.012072434607645876
1,1988,70,18,0.009054325955734407
1,1988,71,22,0.011066398390342054
1,1988,72,26,0.013078470824949699
1,1988,73,19,0.009557344064386318
1,1988,74,12,0.006036217303822938
1,1988,75,25,0.012575452716297788
1,1988,76,22,0.011066398390342054
1,1988,79,21,0.010563380281690142
