set_type,set_type_count,midi_program_num,count,proportion
test,603,0,130,0.21558872305140964
test,603,115,231,0.3830845771144279
test,603,116,117,0.19402985074626866
test,603,118,125,0.20729684908789386
train,2818,0,562,0.1994322214336409
train,2818,115,1130,0.40099361249112847
train,2818,116,565,0.20049680624556424
train,2818,118,561,0.19907735982966643
valid,604,0,113,0.1870860927152318
valid,604,115,249,0.41225165562913907
valid,604,116,123,0.20364238410596028
valid,604,118,119,0.19701986754966888
