fold,fold_count,root_note_is_accidental,count,proportion
1,663,0,385,0.5806938159879337
1,663,1,278,0.4193061840120664
2,663,0,397,0.5987933634992458
2,663,1,266,0.40120663650075417
3,663,0,395,0.5957767722473605
3,663,1,268,0.4042232277526395
4,663,0,366,0.5520361990950227
4,663,1,297,0.4479638009049774
5,663,0,382,0.5761689291101056
5,663,1,281,0.4238310708898944
6,663,0,406,0.6123680241327301
6,663,1,257,0.38763197586727
7,663,0,383,0.5776772247360483
7,663,1,280,0.42232277526395173
8,663,0,377,0.5686274509803921
8,663,1,286,0.43137254901960786
9,662,0,391,0.5906344410876133
9,662,1,271,0.4093655589123867
10,662,0,375,0.5664652567975831
10,662,1,287,0.4335347432024169
11,662,0,381,0.5755287009063444
11,662,1,281,0.4244712990936556
12,662,0,394,0.595166163141994
12,662,1,268,0.40483383685800606
13,662,0,386,0.5830815709969789
13,662,1,276,0.4169184290030212
14,662,0,373,0.5634441087613293
14,662,1,289,0.43655589123867067
15,662,0,397,0.5996978851963746
15,662,1,265,0.4003021148036254
16,662,0,350,0.5287009063444109
16,662,1,312,0.47129909365558914
17,662,0,428,0.6465256797583081
17,662,1,234,0.35347432024169184
18,662,0,394,0.595166163141994
18,662,1,268,0.40483383685800606
19,662,0,374,0.5649546827794562
19,662,1,288,0.4350453172205438
20,662,0,394,0.595166163141994
20,662,1,268,0.40483383685800606
