fold,fold_count,register,count,proportion
1,497,0,158,0.3179074446680081
1,497,1,168,0.33802816901408456
1,497,2,171,0.3440643863179075
2,497,0,166,0.33400402414486924
2,497,1,166,0.33400402414486924
2,497,2,165,0.3319919517102616
3,497,0,170,0.3420523138832998
3,497,1,171,0.3440643863179075
3,497,2,156,0.31388329979879276
4,497,0,159,0.31991951710261574
4,497,1,172,0.34607645875251514
4,497,2,166,0.33400402414486924
5,497,0,158,0.3179074446680081
5,497,1,171,0.3440643863179075
5,497,2,168,0.33802816901408456
6,497,0,166,0.33400402414486924
6,497,1,164,0.329979879275654
6,497,2,167,0.3360160965794769
7,497,0,180,0.3621730382293763
7,497,1,157,0.3158953722334004
7,497,2,160,0.32193158953722334
8,497,0,159,0.31991951710261574
8,497,1,168,0.33802816901408456
8,497,2,170,0.3420523138832998
9,497,0,164,0.329979879275654
9,497,1,154,0.3098591549295775
9,497,2,179,0.36016096579476864
10,497,0,168,0.33802816901408456
10,497,1,157,0.3158953722334004
10,497,2,172,0.34607645875251514
11,497,0,164,0.329979879275654
11,497,1,167,0.3360160965794769
11,497,2,166,0.33400402414486924
12,497,0,158,0.3179074446680081
12,497,1,173,0.34808853118712274
12,497,2,166,0.33400402414486924
13,497,0,167,0.3360160965794769
13,497,1,171,0.3440643863179075
13,497,2,159,0.31991951710261574
14,497,0,163,0.3279678068410463
14,497,1,176,0.3541247484909457
14,497,2,158,0.3179074446680081
15,497,0,155,0.31187122736418516
15,497,1,169,0.34004024144869216
15,497,2,173,0.34808853118712274
16,497,0,167,0.3360160965794769
16,497,1,155,0.31187122736418516
16,497,2,175,0.35211267605633806
17,496,0,172,0.34677419354838707
17,496,1,170,0.34274193548387094
17,496,2,154,0.31048387096774194
18,496,0,183,0.3689516129032258
18,496,1,155,0.3125
18,496,2,158,0.3185483870967742
19,496,0,161,0.3245967741935484
19,496,1,173,0.34879032258064513
19,496,2,162,0.32661290322580644
20,496,0,174,0.3508064516129032
20,496,1,155,0.3125
20,496,2,167,0.33669354838709675
