set_type,set_type_count,midi_program_num,count,proportion
test,5961,0,64,0.01073645361516524
test,5961,1,58,0.0097299110887435
test,5961,2,62,0.010400939439691326
test,5961,3,50,0.008387854386847844
test,5961,4,68,0.011407481966113067
test,5961,5,69,0.011575239053850024
test,5961,6,78,0.013085052843482636
test,5961,7,57,0.009562154001006542
test,5961,10,54,0.00905888273779567
test,5961,11,60,0.010065425264217413
test,5961,12,77,0.01291729575574568
test,5961,13,61,0.010233182351954369
test,5961,15,63,0.010568696527428282
test,5961,16,70,0.01174299614158698
test,5961,17,81,0.013588324106693507
test,5961,18,56,0.009394396913269584
test,5961,19,65,0.010904210702902198
test,5961,20,54,0.00905888273779567
test,5961,24,61,0.010233182351954369
test,5961,25,65,0.010904210702902198
test,5961,26,56,0.009394396913269584
test,5961,27,55,0.009226639825532628
test,5961,28,64,0.01073645361516524
test,5961,29,70,0.01174299614158698
test,5961,30,65,0.010904210702902198
test,5961,32,83,0.01392383828216742
test,5961,33,67,0.011239724878376111
test,5961,34,76,0.012749538668008722
test,5961,35,83,0.01392383828216742
test,5961,36,80,0.01342056701895655
test,5961,37,80,0.01342056701895655
test,5961,38,69,0.011575239053850024
test,5961,39,52,0.008723368562321757
test,5961,40,61,0.010233182351954369
test,5961,41,67,0.011239724878376111
test,5961,42,70,0.01174299614158698
test,5961,43,57,0.009562154001006542
test,5961,44,61,0.010233182351954369
test,5961,45,73,0.012246267404797851
test,5961,46,59,0.009897668176480455
test,5961,48,67,0.011239724878376111
test,5961,49,70,0.01174299614158698
test,5961,50,71,0.011910753229323938
test,5961,51,69,0.011575239053850024
test,5961,52,89,0.014930380808589161
test,5961,53,69,0.011575239053850024
test,5961,54,56,0.009394396913269584
test,5961,56,59,0.009897668176480455
test,5961,57,70,0.01174299614158698
test,5961,58,64,0.01073645361516524
test,5961,59,76,0.012749538668008722
test,5961,60,59,0.009897668176480455
test,5961,61,56,0.009394396913269584
test,5961,62,57,0.009562154001006542
test,5961,63,61,0.010233182351954369
test,5961,64,66,0.011071967790639153
test,5961,65,66,0.011071967790639153
test,5961,66,60,0.010065425264217413
test,5961,67,53,0.008891125650058715
test,5961,68,69,0.011575239053850024
test,5961,69,62,0.010400939439691326
test,5961,70,54,0.00905888273779567
test,5961,71,64,0.01073645361516524
test,5961,72,59,0.009897668176480455
test,5961,73,70,0.01174299614158698
test,5961,74,69,0.011575239053850024
test,5961,75,69,0.011575239053850024
test,5961,76,56,0.009394396913269584
test,5961,79,62,0.010400939439691326
test,5961,80,74,0.012414024492534809
test,5961,81,69,0.011575239053850024
test,5961,82,62,0.010400939439691326
test,5961,83,61,0.010233182351954369
test,5961,84,79,0.013252809931219594
test,5961,85,57,0.009562154001006542
test,5961,87,56,0.009394396913269584
test,5961,88,71,0.011910753229323938
test,5961,89,61,0.010233182351954369
test,5961,90,79,0.013252809931219594
test,5961,91,62,0.010400939439691326
test,5961,92,68,0.011407481966113067
test,5961,93,75,0.012581781580271765
test,5961,94,63,0.010568696527428282
test,5961,95,57,0.009562154001006542
test,5961,104,59,0.009897668176480455
test,5961,105,67,0.011239724878376111
test,5961,106,53,0.008891125650058715
test,5961,107,54,0.00905888273779567
test,5961,108,52,0.008723368562321757
test,5961,109,67,0.011239724878376111
test,5961,110,56,0.009394396913269584
test,5961,111,66,0.011071967790639153
train,27822,0,314,0.011286032636043419
train,27822,1,320,0.011501689310617496
train,27822,2,315,0.011321975415139098
train,27822,3,317,0.011393860973330457
train,27822,4,298,0.010710948170512543
train,27822,5,302,0.010854719286895262
train,27822,6,294,0.010567177054129824
train,27822,7,295,0.010603119833225505
train,27822,10,321,0.011537632089713177
train,27822,11,313,0.011250089856947738
train,27822,12,302,0.010854719286895262
train,27822,13,310,0.0111422615196607
train,27822,15,300,0.010782833728703903
train,27822,16,310,0.0111422615196607
train,27822,17,288,0.010351520379555747
train,27822,18,314,0.011286032636043419
train,27822,19,310,0.0111422615196607
train,27822,20,328,0.011789231543382933
train,27822,24,312,0.011214147077852059
train,27822,25,295,0.010603119833225505
train,27822,26,319,0.011465746531521817
train,27822,27,315,0.011321975415139098
train,27822,28,312,0.011214147077852059
train,27822,29,305,0.010962547624182301
train,27822,30,304,0.010926604845086622
train,27822,32,272,0.009776435914024871
train,27822,33,305,0.010962547624182301
train,27822,34,281,0.01009992092588599
train,27822,35,287,0.010315577600460066
train,27822,36,290,0.010423405937747106
train,27822,37,283,0.010171806484077348
train,27822,38,289,0.010387463158651427
train,27822,39,306,0.01099849040327798
train,27822,40,307,0.011034433182373661
train,27822,41,307,0.011034433182373661
train,27822,42,303,0.010890662065990942
train,27822,43,310,0.0111422615196607
train,27822,44,308,0.01107037596146934
train,27822,45,299,0.010746890949608224
train,27822,46,308,0.01107037596146934
train,27822,48,294,0.010567177054129824
train,27822,49,292,0.010495291495938466
train,27822,50,290,0.010423405937747106
train,27822,51,278,0.00999209258859895
train,27822,52,278,0.00999209258859895
train,27822,53,301,0.010818776507799582
train,27822,54,320,0.011501689310617496
train,27822,56,307,0.011034433182373661
train,27822,57,301,0.010818776507799582
train,27822,58,296,0.010639062612321185
train,27822,59,287,0.010315577600460066
train,27822,60,303,0.010890662065990942
train,27822,61,309,0.01110631874056502
train,27822,62,316,0.011357918194234777
train,27822,63,313,0.011250089856947738
train,27822,64,298,0.010710948170512543
train,27822,65,292,0.010495291495938466
train,27822,66,302,0.010854719286895262
train,27822,67,316,0.011357918194234777
train,27822,68,292,0.010495291495938466
train,27822,69,302,0.010854719286895262
train,27822,70,315,0.011321975415139098
train,27822,71,300,0.010782833728703903
train,27822,72,312,0.011214147077852059
train,27822,73,291,0.010459348716842785
train,27822,74,311,0.01117820429875638
train,27822,75,297,0.010675005391416864
train,27822,76,306,0.01099849040327798
train,27822,79,307,0.011034433182373661
train,27822,80,290,0.010423405937747106
train,27822,81,292,0.010495291495938466
train,27822,82,292,0.010495291495938466
train,27822,83,314,0.011286032636043419
train,27822,84,294,0.010567177054129824
train,27822,85,303,0.010890662065990942
train,27822,87,321,0.011537632089713177
train,27822,88,296,0.010639062612321185
train,27822,89,304,0.010926604845086622
train,27822,90,291,0.010459348716842785
train,27822,91,294,0.010567177054129824
train,27822,92,301,0.010818776507799582
train,27822,93,291,0.010459348716842785
train,27822,94,303,0.010890662065990942
train,27822,95,308,0.01107037596146934
train,27822,104,302,0.010854719286895262
train,27822,105,285,0.010243692042268708
train,27822,106,314,0.011286032636043419
train,27822,107,318,0.011429803752426138
train,27822,108,297,0.010675005391416864
train,27822,109,308,0.01107037596146934
train,27822,110,303,0.010890662065990942
train,27822,111,307,0.011034433182373661
valid,5961,0,54,0.00905888273779567
valid,5961,1,54,0.00905888273779567
valid,5961,2,55,0.009226639825532628
valid,5961,3,65,0.010904210702902198
valid,5961,4,66,0.011071967790639153
valid,5961,5,61,0.010233182351954369
valid,5961,6,60,0.010065425264217413
valid,5961,7,80,0.01342056701895655
valid,5961,10,57,0.009562154001006542
valid,5961,11,59,0.009897668176480455
valid,5961,12,53,0.008891125650058715
valid,5961,13,61,0.010233182351954369
valid,5961,15,69,0.011575239053850024
valid,5961,16,52,0.008723368562321757
valid,5961,17,63,0.010568696527428282
valid,5961,18,62,0.010400939439691326
valid,5961,19,57,0.009562154001006542
valid,5961,20,50,0.008387854386847844
valid,5961,24,59,0.009897668176480455
valid,5961,25,72,0.012078510317060896
valid,5961,26,57,0.009562154001006542
valid,5961,27,62,0.010400939439691326
valid,5961,28,56,0.009394396913269584
valid,5961,29,57,0.009562154001006542
valid,5961,30,63,0.010568696527428282
valid,5961,32,77,0.01291729575574568
valid,5961,33,60,0.010065425264217413
valid,5961,34,75,0.012581781580271765
valid,5961,35,62,0.010400939439691326
valid,5961,36,62,0.010400939439691326
valid,5961,37,69,0.011575239053850024
valid,5961,38,74,0.012414024492534809
valid,5961,39,74,0.012414024492534809
valid,5961,40,64,0.01073645361516524
valid,5961,41,58,0.0097299110887435
valid,5961,42,59,0.009897668176480455
valid,5961,43,65,0.010904210702902198
valid,5961,44,63,0.010568696527428282
valid,5961,45,60,0.010065425264217413
valid,5961,46,65,0.010904210702902198
valid,5961,48,71,0.011910753229323938
valid,5961,49,70,0.01174299614158698
valid,5961,50,71,0.011910753229323938
valid,5961,51,85,0.014259352457641334
valid,5961,52,65,0.010904210702902198
valid,5961,53,62,0.010400939439691326
valid,5961,54,56,0.009394396913269584
valid,5961,56,66,0.011071967790639153
valid,5961,57,61,0.010233182351954369
valid,5961,58,72,0.012078510317060896
valid,5961,59,69,0.011575239053850024
valid,5961,60,70,0.01174299614158698
valid,5961,61,67,0.011239724878376111
