fold,fold_count,midi_program_num,count,proportion
1,497,0,3,0.006036217303822938
1,497,1,3,0.006036217303822938
1,497,2,6,0.012072434607645876
1,497,3,7,0.014084507042253523
1,497,4,2,0.004024144869215292
1,497,5,7,0.014084507042253523
1,497,6,6,0.012072434607645876
1,497,7,4,0.008048289738430584
1,497,10,2,0.004024144869215292
1,497,11,7,0.014084507042253523
1,497,12,4,0.008048289738430584
1,497,13,7,0.014084507042253523
1,497,15,6,0.012072434607645876
1,497,16,6,0.012072434607645876
1,497,17,4,0.008048289738430584
1,497,18,6,0.012072434607645876
1,497,19,8,0.01609657947686117
1,497,20,6,0.012072434607645876
1,497,24,5,0.01006036217303823
1,497,25,8,0.01609657947686117
1,497,26,6,0.012072434607645876
1,497,27,4,0.008048289738430584
1,497,28,8,0.01609657947686117
1,497,29,3,0.006036217303822938
1,497,30,5,0.01006036217303823
1,497,32,5,0.01006036217303823
1,497,33,8,0.01609657947686117
1,497,34,7,0.014084507042253523
1,497,35,5,0.01006036217303823
1,497,36,6,0.012072434607645876
1,497,37,6,0.012072434607645876
1,497,38,6,0.012072434607645876
1,497,39,4,0.008048289738430584
1,497,40,7,0.014084507042253523
1,497,41,6,0.012072434607645876
1,497,42,6,0.012072434607645876
1,497,43,8,0.01609657947686117
1,497,44,5,0.01006036217303823
1,497,45,5,0.01006036217303823
1,497,46,8,0.01609657947686117
1,497,48,3,0.006036217303822938
1,497,49,9,0.018108651911468814
1,497,50,7,0.014084507042253523
1,497,51,5,0.01006036217303823
1,497,52,5,0.01006036217303823
1,497,53,7,0.014084507042253523
1,497,54,7,0.014084507042253523
1,497,56,4,0.008048289738430584
1,497,57,4,0.008048289738430584
1,497,58,6,0.012072434607645876
1,497,59,5,0.01006036217303823
1,497,60,5,0.01006036217303823
1,497,61,5,0.01006036217303823
1,497,62,6,0.012072434607645876
1,497,63,8,0.01609657947686117
1,497,64,5,0.01006036217303823
1,497,65,4,0.008048289738430584
1,497,66,5,0.01006036217303823
1,497,67,5,0.01006036217303823
1,497,68,7,0.014084507042253523
1,497,69,6,0.012072434607645876
1,497,70,4,0.008048289738430584
1,497,71,6,0.012072434607645876
1,497,72,6,0.012072434607645876
1,497,73,6,0.012072434607645876
1,497,74,2,0.004024144869215292
1,497,75,4,0.008048289738430584
1,497,76,6,0.012072434607645876
1,497,79,10,0.02012072434607646
1,497,80,2,0.004024144869215292
1,497,81,5,0.01006036217303823
1,497,82,4,0.008048289738430584
1,497,83,3,0.006036217303822938
1,497,84,3,0.006036217303822938
1,497,85,6,0.012072434607645876
1,497,87,4,0.008048289738430584
1,497,88,4,0.008048289738430584
1,497,89,3,0.006036217303822938
1,497,90,7,0.014084507042253523
1,497,91,4,0.008048289738430584
1,497,92,7,0.014084507042253523
1,497,93,4,0.008048289738430584
1,497,94,11,0.022132796780684107
1,497,95,6,0.012072434607645876
1,497,104,6,0.012072434607645876
1,497,105,3,0.006036217303822938
1,497,106,8,0.01609657947686117
1,497,107,3,0.006036217303822938
1,497,108,3,0.006036217303822938
1,497,109,4,0.008048289738430584
1,497,110,5,0.01006036217303823
1,497,111,5,0.01006036217303823
2,497,0,8,0.01609657947686117
2,497,1,6,0.012072434607645876
2,497,2,2,0.004024144869215292
2,497,3,6,0.012072434607645876
2,497,4,7,0.014084507042253523
2,497,5,5,0.01006036217303823
2,497,6,4,0.008048289738430584
2,497,7,4,0.008048289738430584
2,497,10,4,0.008048289738430584
2,497,11,7,0.014084507042253523
2,497,12,4,0.008048289738430584
2,497,13,5,0.01006036217303823
2,497,15,8,0.01609657947686117
2,497,16,3,0.006036217303822938
2,497,17,4,0.008048289738430584
2,497,18,7,0.014084507042253523
2,497,19,3,0.006036217303822938
2,497,20,6,0.012072434607645876
2,497,24,4,0.008048289738430584
2,497,25,7,0.014084507042253523
2,497,26,6,0.012072434607645876
2,497,27,8,0.01609657947686117
2,497,28,8,0.01609657947686117
2,497,29,10,0.02012072434607646
2,497,30,6,0.012072434607645876
2,497,32,5,0.01006036217303823
2,497,33,1,0.002012072434607646
2,497,34,3,0.006036217303822938
2,497,35,9,0.018108651911468814
2,497,36,7,0.014084507042253523
2,497,37,4,0.008048289738430584
2,497,38,5,0.01006036217303823
2,497,39,6,0.012072434607645876
2,497,40,4,0.008048289738430584
2,497,41,6,0.012072434607645876
2,497,42,4,0.008048289738430584
2,497,43,5,0.01006036217303823
2,497,44,6,0.012072434607645876
2,497,45,5,0.01006036217303823
2,497,46,4,0.008048289738430584
2,497,48,1,0.002012072434607646
2,497,49,9,0.018108651911468814
2,497,50,2,0.004024144869215292
2,497,51,7,0.014084507042253523
2,497,52,2,0.004024144869215292
2,497,53,4,0.008048289738430584
2,497,54,3,0.006036217303822938
2,497,56,4,0.008048289738430584
2,497,57,9,0.018108651911468814
2,497,58,6,0.012072434607645876
2,497,59,5,0.01006036217303823
2,497,60,5,0.01006036217303823
2,497,61,4,0.008048289738430584
2,497,62,6,0.012072434607645876
2,497,63,5,0.01006036217303823
2,497,64,1,0.002012072434607646
2,497,65,6,0.012072434607645876
2,497,66,5,0.01006036217303823
2,497,67,10,0.02012072434607646
2,497,68,5,0.01006036217303823
2,497,69,11,0.022132796780684107
2,497,70,4,0.008048289738430584
2,497,71,8,0.01609657947686117
2,497,72,9,0.018108651911468814
2,497,73,4,0.008048289738430584
2,497,74,2,0.004024144869215292
2,497,75,3,0.006036217303822938
2,497,76,4,0.008048289738430584
2,497,79,2,0.004024144869215292
2,497,80,6,0.012072434607645876
2,497,81,4,0.008048289738430584
2,497,82,7,0.014084507042253523
2,497,83,5,0.01006036217303823
2,497,84,7,0.014084507042253523
2,497,85,2,0.004024144869215292
2,497,87,8,0.01609657947686117
2,497,88,7,0.014084507042253523
2,497,89,6,0.012072434607645876
2,497,90,4,0.008048289738430584
2,497,91,7,0.014084507042253523
2,497,92,7,0.014084507042253523
2,497,93,10,0.02012072434607646
2,497,94,3,0.006036217303822938
2,497,95,7,0.014084507042253523
2,497,104,6,0.012072434607645876
2,497,105,3,0.006036217303822938
2,497,106,3,0.006036217303822938
2,497,107,7,0.014084507042253523
2,497,108,10,0.02012072434607646
2,497,109,2,0.004024144869215292
2,497,110,7,0.014084507042253523
2,497,111,7,0.014084507042253523
3,497,0,2,0.004024144869215292
3,497,1,7,0.014084507042253523
3,497,2,3,0.006036217303822938
3,497,3,8,0.01609657947686117
3,497,4,6,0.012072434607645876
3,497,5,9,0.018108651911468814
3,497,6,7,0.014084507042253523
3,497,7,7,0.014084507042253523
3,497,10,6,0.012072434607645876
3,497,11,4,0.008048289738430584
3,497,12,6,0.012072434607645876
3,497,13,4,0.008048289738430584
3,497,15,8,0.01609657947686117
3,497,16,4,0.008048289738430584
3,497,17,3,0.006036217303822938
3,497,18,7,0.014084507042253523
3,497,19,3,0.006036217303822938
3,497,20,7,0.014084507042253523
3,497,24,9,0.018108651911468814
3,497,25,2,0.004024144869215292
3,497,26,8,0.01609657947686117
3,497,27,2,0.004024144869215292
3,497,28,6,0.012072434607645876
3,497,29,4,0.008048289738430584
