set_type,set_type_count,chord_progression,count,proportion
test,3144,"aeolian-(1, 2, 5, 1)",165,0.052480916030534355
test,3144,"aeolian-(1, 3, 4, 1)",165,0.052480916030534355
test,3144,"aeolian-(1, 4, 5, 1)",165,0.052480916030534355
test,3144,"aeolian-(1, 6, 3, 7)",165,0.052480916030534355
test,3144,"aeolian-(1, 6, 7, 1)",168,0.0534351145038168
test,3144,"aeolian-(1, 6, 7, 3)",165,0.052480916030534355
test,3144,"aeolian-(1, 7, 6, 4)",165,0.052480916030534355
test,3144,"aeolian-(4, 7, 1, 1)",165,0.052480916030534355
test,3144,"aeolian-(7, 6, 7, 1)",165,0.052480916030534355
test,3144,"ionian-(1, 4, 5, 1)",165,0.052480916030534355
test,3144,"ionian-(1, 4, 6, 5)",165,0.052480916030534355
test,3144,"ionian-(1, 5, 6, 4)",165,0.052480916030534355
test,3144,"ionian-(1, 6, 4, 5)",165,0.052480916030534355
test,3144,"ionian-(2, 5, 1, 6)",168,0.0534351145038168
test,3144,"ionian-(4, 1, 5, 6)",165,0.052480916030534355
test,3144,"ionian-(4, 5, 3, 6)",165,0.052480916030534355
test,3144,"ionian-(5, 4, 1, 5)",165,0.052480916030534355
test,3144,"ionian-(5, 6, 4, 1)",165,0.052480916030534355
test,3144,"ionian-(6, 4, 1, 5)",168,0.0534351145038168
train,14686,"aeolian-(1, 2, 5, 1)",774,0.052703254800490255
train,14686,"aeolian-(1, 3, 4, 1)",774,0.052703254800490255
train,14686,"aeolian-(1, 4, 5, 1)",774,0.052703254800490255
train,14686,"aeolian-(1, 6, 3, 7)",772,0.05256707067955876
train,14686,"aeolian-(1, 6, 7, 1)",770,0.05243088655862726
train,14686,"aeolian-(1, 6, 7, 3)",774,0.052703254800490255
train,14686,"aeolian-(1, 7, 6, 4)",774,0.052703254800490255
train,14686,"aeolian-(4, 7, 1, 1)",774,0.052703254800490255
train,14686,"aeolian-(7, 6, 7, 1)",772,0.05256707067955876
train,14686,"ionian-(1, 4, 5, 1)",774,0.052703254800490255
train,14686,"ionian-(1, 4, 6, 5)",774,0.052703254800490255
train,14686,"ionian-(1, 5, 6, 4)",774,0.052703254800490255
train,14686,"ionian-(1, 6, 4, 5)",772,0.05256707067955876
train,14686,"ionian-(2, 5, 1, 6)",770,0.05243088655862726
train,14686,"ionian-(4, 1, 5, 6)",774,0.052703254800490255
train,14686,"ionian-(4, 5, 3, 6)",774,0.052703254800490255
train,14686,"ionian-(5, 4, 1, 5)",774,0.052703254800490255
train,14686,"ionian-(5, 6, 4, 1)",772,0.05256707067955876
train,14686,"ionian-(6, 4, 1, 5)",770,0.05243088655862726
valid,3146,"aeolian-(1, 2, 5, 1)",165,0.05244755244755245
valid,3146,"aeolian-(1, 3, 4, 1)",165,0.05244755244755245
valid,3146,"aeolian-(1, 4, 5, 1)",165,0.05244755244755245
valid,3146,"aeolian-(1, 6, 3, 7)",167,0.05308328035600763
valid,3146,"aeolian-(1, 6, 7, 1)",166,0.05276541640178004
valid,3146,"aeolian-(1, 6, 7, 3)",165,0.05244755244755245
valid,3146,"aeolian-(1, 7, 6, 4)",165,0.05244755244755245
valid,3146,"aeolian-(4, 7, 1, 1)",165,0.05244755244755245
valid,3146,"aeolian-(7, 6, 7, 1)",167,0.05308328035600763
valid,3146,"ionian-(1, 4, 5, 1)",165,0.05244755244755245
valid,3146,"ionian-(1, 4, 6, 5)",165,0.05244755244755245
valid,3146,"ionian-(1, 5, 6, 4)",165,0.05244755244755245
valid,3146,"ionian-(1, 6, 4, 5)",167,0.05308328035600763
valid,3146,"ionian-(2, 5, 1, 6)",166,0.05276541640178004
valid,3146,"ionian-(4, 1, 5, 6)",165,0.05244755244755245
valid,3146,"ionian-(4, 5, 3, 6)",165,0.05244755244755245
valid,3146,"ionian-(5, 4, 1, 5)",165,0.05244755244755245
valid,3146,"ionian-(5, 6, 4, 1)",167,0.05308328035600763
valid,3146,"ionian-(6, 4, 1, 5)",166,0.05276541640178004
