fold,fold_count,click_config_name,count,proportion
1,60,default,11,0.18333333333333332
1,60,synth_drum,16,0.26666666666666666
1,60,taiko,6,0.1
1,60,woodblock_dark,12,0.2
1,60,woodblock_light,15,0.25
2,60,default,15,0.25
2,60,synth_drum,12,0.2
2,60,taiko,19,0.31666666666666665
2,60,woodblock_dark,9,0.15
2,60,woodblock_light,5,0.08333333333333333
3,60,default,15,0.25
3,60,synth_drum,12,0.2
3,60,taiko,8,0.13333333333333333
3,60,woodblock_dark,14,0.23333333333333334
3,60,woodblock_light,11,0.18333333333333332
4,60,default,15,0.25
4,60,synth_drum,12,0.2
4,60,taiko,14,0.23333333333333334
4,60,woodblock_dark,9,0.15
4,60,woodblock_light,10,0.16666666666666666
5,60,default,10,0.16666666666666666
5,60,synth_drum,7,0.11666666666666667
5,60,taiko,19,0.31666666666666665
5,60,woodblock_dark,15,0.25
5,60,woodblock_light,9,0.15
6,60,default,10,0.16666666666666666
6,60,synth_drum,13,0.21666666666666667
6,60,taiko,15,0.25
6,60,woodblock_dark,10,0.16666666666666666
6,60,woodblock_light,12,0.2
7,60,default,10,0.16666666666666666
7,60,synth_drum,12,0.2
7,60,taiko,11,0.18333333333333332
7,60,woodblock_dark,11,0.18333333333333332
7,60,woodblock_light,16,0.26666666666666666
8,60,default,17,0.2833333333333333
8,60,synth_drum,9,0.15
8,60,taiko,7,0.11666666666666667
8,60,woodblock_dark,14,0.23333333333333334
8,60,woodblock_light,13,0.21666666666666667
9,60,default,15,0.25
9,60,synth_drum,7,0.11666666666666667
9,60,taiko,13,0.21666666666666667
9,60,woodblock_dark,13,0.21666666666666667
9,60,woodblock_light,12,0.2
10,60,default,10,0.16666666666666666
10,60,synth_drum,13,0.21666666666666667
10,60,taiko,11,0.18333333333333332
10,60,woodblock_dark,10,0.16666666666666666
10,60,woodblock_light,16,0.26666666666666666
11,60,default,12,0.2
11,60,synth_drum,12,0.2
11,60,taiko,13,0.21666666666666667
11,60,woodblock_dark,11,0.18333333333333332
11,60,woodblock_light,12,0.2
12,60,default,12,0.2
12,60,synth_drum,13,0.21666666666666667
12,60,taiko,13,0.21666666666666667
12,60,woodblock_dark,11,0.18333333333333332
12,60,woodblock_light,11,0.18333333333333332
13,60,default,18,0.3
13,60,synth_drum,8,0.13333333333333333
13,60,taiko,10,0.16666666666666666
13,60,woodblock_dark,12,0.2
13,60,woodblock_light,12,0.2
14,60,default,12,0.2
14,60,synth_drum,12,0.2
14,60,taiko,9,0.15
14,60,woodblock_dark,14,0.23333333333333334
14,60,woodblock_light,13,0.21666666666666667
15,60,default,12,0.2
15,60,synth_drum,16,0.26666666666666666
15,60,taiko,10,0.16666666666666666
15,60,woodblock_dark,8,0.13333333333333333
15,60,woodblock_light,14,0.23333333333333334
16,60,default,10,0.16666666666666666
16,60,synth_drum,17,0.2833333333333333
16,60,taiko,12,0.2
16,60,woodblock_dark,11,0.18333333333333332
16,60,woodblock_light,10,0.16666666666666666
17,60,default,5,0.08333333333333333
17,60,synth_drum,19,0.31666666666666665
17,60,taiko,12,0.2
17,60,woodblock_dark,14,0.23333333333333334
17,60,woodblock_light,10,0.16666666666666666
18,60,default,9,0.15
18,60,synth_drum,11,0.18333333333333332
18,60,taiko,13,0.21666666666666667
18,60,woodblock_dark,12,0.2
18,60,woodblock_light,15,0.25
19,60,default,11,0.18333333333333332
19,60,synth_drum,9,0.15
19,60,taiko,13,0.21666666666666667
19,60,woodblock_dark,16,0.26666666666666666
19,60,woodblock_light,11,0.18333333333333332
20,60,default,11,0.18333333333333332
20,60,synth_drum,10,0.16666666666666666
20,60,taiko,12,0.2
20,60,woodblock_dark,14,0.23333333333333334
20,60,woodblock_light,13,0.21666666666666667
