set_type,set_type_count,time_signature,count,proportion
test,180,"(12, 8)",24,0.13333333333333333
test,180,"(2, 2)",21,0.11666666666666667
test,180,"(2, 4)",24,0.13333333333333333
test,180,"(3, 4)",21,0.11666666666666667
test,180,"(3, 8)",24,0.13333333333333333
test,180,"(4, 4)",21,0.11666666666666667
test,180,"(6, 8)",24,0.13333333333333333
test,180,"(9, 8)",21,0.11666666666666667
train,840,"(12, 8)",102,0.12142857142857144
train,840,"(2, 2)",108,0.1285714285714286
train,840,"(2, 4)",102,0.12142857142857144
train,840,"(3, 4)",108,0.1285714285714286
train,840,"(3, 8)",102,0.12142857142857144
train,840,"(4, 4)",108,0.1285714285714286
train,840,"(6, 8)",102,0.12142857142857144
train,840,"(9, 8)",108,0.1285714285714286
valid,180,"(12, 8)",24,0.13333333333333333
valid,180,"(2, 2)",21,0.11666666666666667
valid,180,"(2, 4)",24,0.13333333333333333
valid,180,"(3, 4)",21,0.11666666666666667
valid,180,"(3, 8)",24,0.13333333333333333
valid,180,"(4, 4)",21,0.11666666666666667
valid,180,"(6, 8)",24,0.13333333333333333
valid,180,"(9, 8)",21,0.11666666666666667
