set_type,set_type_count,name,count,proportion
test,2316,A#_aeolian_DOWN_0_Acoustic_Grand_Piano,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_105_Banjo,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_108_Kalimba,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_15_Dulcimer,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_18_Rock_Organ,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_24_Acoustic_Nylon_Guitar,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_36_Slap_Bass_1,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_41_Viola,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_49_String_Ensemble_2,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_6_Harpsichord,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_71_Clarinet,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_76_Bottle_Blow,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_80_Square_Wave_Lead,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_85_Voice_Lead,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_92_Bowed_Pad,1,0.0004317789291882556
test,2316,A#_aeolian_DOWN_93_Metallic_Pad,1,0.0004317789291882556
test,2316,A#_aeolian_UP_107_Koto,1,0.0004317789291882556
test,2316,A#_aeolian_UP_37_Slap_Bass_2,1,0.0004317789291882556
test,2316,A#_aeolian_UP_43_Contrabass,1,0.0004317789291882556
test,2316,"A#_aeolian_UP_53_Choir_""Ooh""",1,0.0004317789291882556
test,2316,A#_aeolian_UP_62_Synth_Brass_1,1,0.0004317789291882556
test,2316,A#_aeolian_UP_89_Warm_Pad,1,0.0004317789291882556
test,2316,A#_aeolian_UP_95_Sweep_Pad,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_104_Sitar,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_17_Percussive_Organ,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_34_Plucked_Electric_Bass,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_38_Synth_Bass_1,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_3_Honky-tonk_Piano,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_41_Viola,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_43_Contrabass,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_45_Pizzicato_Strings,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_46_Orchestral_Harp,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_56_Trumpet,1,0.0004317789291882556
test,2316,A#_dorian_DOWN_65_Alto_Sax,1,0.0004317789291882556
test,2316,A#_dorian_UP_107_Koto,1,0.0004317789291882556
test,2316,A#_dorian_UP_111_Shanai,1,0.0004317789291882556
test,2316,A#_dorian_UP_24_Acoustic_Nylon_Guitar,1,0.0004317789291882556
test,2316,A#_dorian_UP_26_Electric_Jazz_Guitar,1,0.0004317789291882556
test,2316,A#_dorian_UP_2_Electric_Grand_Piano,1,0.0004317789291882556
test,2316,A#_dorian_UP_30_Distortion_Guitar,1,0.0004317789291882556
test,2316,A#_dorian_UP_32_Acoustic_Bass,1,0.0004317789291882556
test,2316,A#_dorian_UP_49_String_Ensemble_2,1,0.0004317789291882556
test,2316,"A#_dorian_UP_52_Choir_""Aah""",1,0.0004317789291882556
test,2316,A#_dorian_UP_76_Bottle_Blow,1,0.0004317789291882556
test,2316,A#_dorian_UP_7_Clavinet,1,0.0004317789291882556
test,2316,A#_dorian_UP_84_Charang_Lead,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_0_Acoustic_Grand_Piano,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_10_Music_Box,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_110_Fiddle,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_13_Xylophone,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_17_Percussive_Organ,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_19_Church_Organ,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_24_Acoustic_Nylon_Guitar,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_27_Electric_Clean_Guitar,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_2_Electric_Grand_Piano,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_30_Distortion_Guitar,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_45_Pizzicato_Strings,1,0.0004317789291882556
test,2316,A#_ionian_DOWN_61_Brass_Section,1,0.0004317789291882556
