fold,fold_count,midi_program_num,count,proportion
1,202,0,36,0.1782178217821782
1,202,115,79,0.3910891089108911
1,202,116,45,0.22277227722772278
1,202,118,42,0.2079207920792079
2,202,0,42,0.2079207920792079
2,202,115,85,0.4207920792079208
2,202,116,36,0.1782178217821782
2,202,118,39,0.19306930693069307
3,202,0,46,0.22772277227722773
3,202,115,79,0.3910891089108911
3,202,116,45,0.22277227722772278
3,202,118,32,0.15841584158415842
4,202,0,35,0.17326732673267328
4,202,115,85,0.4207920792079208
4,202,116,38,0.18811881188118812
4,202,118,44,0.21782178217821782
5,201,0,41,0.20398009950248755
5,201,115,87,0.43283582089552236
5,201,116,34,0.1691542288557214
5,201,118,39,0.19402985074626866
6,201,0,39,0.19402985074626866
6,201,115,83,0.4129353233830846
6,201,116,42,0.208955223880597
6,201,118,37,0.18407960199004975
7,201,0,26,0.12935323383084577
7,201,115,92,0.4577114427860696
7,201,116,45,0.22388059701492538
7,201,118,38,0.1890547263681592
8,201,0,39,0.19402985074626866
8,201,115,69,0.34328358208955223
8,201,116,41,0.20398009950248755
8,201,118,52,0.25870646766169153
9,201,0,56,0.27860696517412936
9,201,115,73,0.36318407960199006
9,201,116,37,0.18407960199004975
9,201,118,35,0.17412935323383083
10,201,0,40,0.1990049751243781
10,201,115,85,0.4228855721393035
10,201,116,36,0.1791044776119403
10,201,118,40,0.1990049751243781
11,201,0,46,0.2288557213930348
11,201,115,70,0.34825870646766166
11,201,116,37,0.18407960199004975
11,201,118,48,0.23880597014925373
12,201,0,29,0.14427860696517414
12,201,115,87,0.43283582089552236
12,201,116,40,0.1990049751243781
12,201,118,45,0.22388059701492538
13,201,0,38,0.1890547263681592
13,201,115,80,0.3980099502487562
13,201,116,50,0.24875621890547264
13,201,118,33,0.16417910447761194
14,201,0,49,0.24378109452736318
14,201,115,76,0.3781094527363184
14,201,116,39,0.19402985074626866
14,201,118,37,0.18407960199004975
15,202,0,40,0.19801980198019803
15,202,115,82,0.40594059405940597
15,202,116,42,0.2079207920792079
15,202,118,38,0.18811881188118812
16,201,0,39,0.19402985074626866
16,201,115,79,0.39303482587064675
16,201,116,44,0.21890547263681592
16,201,118,39,0.19402985074626866
17,201,0,34,0.1691542288557214
17,201,115,88,0.43781094527363185
17,201,116,37,0.18407960199004975
17,201,118,42,0.208955223880597
18,201,0,39,0.19402985074626866
18,201,115,73,0.36318407960199006
18,201,116,48,0.23880597014925373
18,201,118,41,0.20398009950248755
19,201,0,36,0.1791044776119403
19,201,115,87,0.43283582089552236
19,201,116,31,0.15422885572139303
19,201,118,47,0.23383084577114427
20,201,0,55,0.2736318407960199
20,201,115,71,0.35323383084577115
20,201,116,38,0.1890547263681592
20,201,118,37,0.18407960199004975
