set_type,set_type_count,midi_category,count,proportion
test,2316,Bass Timbres,207,0.08937823834196891
test,2316,Brass Timbres,212,0.09153713298791019
test,2316,Chromatic Percussion,123,0.053108808290155435
test,2316,Ensemble Timbres,182,0.07858376511226252
test,2316,Ethnic Timbres,211,0.09110535405872193
test,2316,Guitar Timbres,167,0.07210708117443869
test,2316,Organ Timbres,102,0.04404145077720207
test,2316,Piano Timbres,202,0.08721934369602763
test,2316,Pipe Timbres,142,0.0613126079447323
test,2316,Reed Timbres,179,0.07728842832469775
test,2316,String Timbres,184,0.07944732297063903
test,2316,Synth Lead,189,0.08160621761658031
test,2316,Synth Pad,216,0.09326424870466321
train,10822,Bass Timbres,945,0.08732212160413971
train,10822,Brass Timbres,930,0.08593605618185178
train,10822,Chromatic Percussion,600,0.055442616891517284
train,10822,Ensemble Timbres,822,0.07595638514137867
train,10822,Ethnic Timbres,925,0.08547403437442247
train,10822,Guitar Timbres,828,0.07651081131029384
train,10822,Organ Timbres,634,0.058584365182036593
train,10822,Piano Timbres,944,0.08722971724265385
train,10822,Pipe Timbres,706,0.06523747920901866
train,10822,Reed Timbres,979,0.09046386989465903
train,10822,String Timbres,793,0.07327665865828867
train,10822,Synth Lead,809,0.07475512844206247
train,10822,Synth Pad,907,0.08381075586767696
valid,2318,Bass Timbres,192,0.0828300258843831
valid,2318,Brass Timbres,202,0.08714408973252805
valid,2318,Chromatic Percussion,117,0.05047454702329595
valid,2318,Ensemble Timbres,172,0.07420189818809318
valid,2318,Ethnic Timbres,208,0.08973252804141502
valid,2318,Guitar Timbres,181,0.07808455565142365
valid,2318,Organ Timbres,104,0.04486626402070751
valid,2318,Piano Timbres,198,0.08541846419327007
valid,2318,Pipe Timbres,160,0.06902502157031924
valid,2318,Reed Timbres,186,0.08024158757549613
valid,2318,String Timbres,199,0.08584987057808456
valid,2318,Synth Lead,178,0.07679033649698015
valid,2318,Synth Pad,221,0.09534081104400345
