set_type,set_type_count,chord_type,count,proportion
test,1986,aug,495,0.24924471299093656
test,1986,dim,498,0.25075528700906347
test,1986,major,495,0.24924471299093656
test,1986,minor,498,0.25075528700906347
train,9276,aug,2320,0.2501078050884002
train,9276,dim,2318,0.24989219491159984
train,9276,major,2322,0.2503234152652005
train,9276,minor,2316,0.2496765847347995
valid,1986,aug,497,0.2502517623363545
valid,1986,dim,496,0.2497482376636455
valid,1986,major,495,0.24924471299093656
valid,1986,minor,498,0.25075528700906347
