set_type,set_type_count,midi_category,count,proportion
test,5961,Bass Timbres,590,0.09897668176480455
test,5961,Brass Timbres,502,0.08421405804395235
test,5961,Chromatic Percussion,315,0.05284348263714141
test,5961,Ensemble Timbres,491,0.08236873007884582
test,5961,Ethnic Timbres,474,0.07951685958731756
test,5961,Guitar Timbres,436,0.0731420902533132
test,5961,Organ Timbres,326,0.05468881060224794
test,5961,Piano Timbres,506,0.08488508639490018
test,5961,Pipe Timbres,385,0.06458647877872839
test,5961,Reed Timbres,494,0.08287200134205669
test,5961,String Timbres,448,0.07515517530615667
test,5961,Synth Lead,458,0.07683274618352624
test,5961,Synth Pad,536,0.08991779902700889
train,27822,Bass Timbres,2313,0.08313564804830709
train,27822,Brass Timbres,2432,0.08741283876069297
train,27822,Chromatic Percussion,1546,0.05556753648192078
train,27822,Ensemble Timbres,2053,0.07379052548343037
train,27822,Ethnic Timbres,2434,0.08748472431888434
train,27822,Guitar Timbres,2162,0.07770828840485947
train,27822,Organ Timbres,1550,0.0557113075983035
train,27822,Piano Timbres,2455,0.0882395226798936
train,27822,Pipe Timbres,1824,0.06555962907051972
train,27822,Reed Timbres,2417,0.08687369707425778
train,27822,String Timbres,2142,0.07698943282294586
train,27822,Synth Lead,2106,0.0756954927755014
train,27822,Synth Pad,2388,0.08583135648048307
valid,5961,Bass Timbres,553,0.09276966951853716
valid,5961,Brass Timbres,522,0.08756919979869149
valid,5961,Chromatic Percussion,299,0.050159369233350105
valid,5961,Ensemble Timbres,480,0.0805234021137393
valid,5961,Ethnic Timbres,548,0.09193088407985237
valid,5961,Guitar Timbres,426,0.07146451937594363
valid,5961,Organ Timbres,284,0.04764301291729575
valid,5961,Piano Timbres,495,0.08303975842979365
valid,5961,Pipe Timbres,383,0.06425096460325448
valid,5961,Reed Timbres,545,0.0914276128166415
valid,5961,String Timbres,434,0.07280657607783929
valid,5961,Synth Lead,460,0.07716826035900017
valid,5961,Synth Pad,532,0.08924677067606106
