set_type,set_type_count,offset_time,count,proportion
test,603,0.0533993024578903,1,0.001658374792703151
test,603,0.061917088535559,1,0.001658374792703151
test,603,0.0627663961002256,1,0.001658374792703151
test,603,0.0889872341148932,1,0.001658374792703151
test,603,0.1653578977079075,1,0.001658374792703151
test,603,0.1737014912124327,1,0.001658374792703151
test,603,0.2072816750171915,1,0.001658374792703151
test,603,0.2085765690420687,1,0.001658374792703151
test,603,0.2672338255513306,1,0.001658374792703151
test,603,0.2717342177284607,1,0.001658374792703151
test,603,0.2718812277700376,1,0.001658374792703151
test,603,0.3008229271159396,1,0.001658374792703151
test,603,0.4635810950275191,1,0.001658374792703151
test,603,0.4832966831792132,1,0.001658374792703151
test,603,0.501226428890193,1,0.001658374792703151
test,603,0.5380621656812801,1,0.001658374792703151
test,603,0.6358588250381548,1,0.001658374792703151
test,603,0.6670225650685783,1,0.001658374792703151
test,603,0.7081040661254082,1,0.001658374792703151
test,603,0.767947292338652,1,0.001658374792703151
test,603,0.7703947937177995,1,0.001658374792703151
test,603,0.7895958419007332,1,0.001658374792703151
test,603,0.8030730926568143,1,0.001658374792703151
test,603,0.8044513553575146,1,0.001658374792703151
test,603,0.8101959383556803,1,0.001658374792703151
test,603,0.862800204571555,1,0.001658374792703151
test,603,0.9072616374028304,1,0.001658374792703151
test,603,0.9090301652996642,1,0.001658374792703151
test,603,0.9394398762819016,1,0.001658374792703151
test,603,0.9890682871143393,1,0.001658374792703151
test,603,1.0598796082821285,1,0.001658374792703151
test,603,1.0718962509399057,1,0.001658374792703151
test,603,1.0736871230066392,1,0.001658374792703151
test,603,1.1183871927546951,1,0.001658374792703151
test,603,1.201526753968801,1,0.001658374792703151
test,603,1.2432901319144751,1,0.001658374792703151
test,603,1.2988572103016265,1,0.001658374792703151
test,603,1.3594588435845365,1,0.001658374792703151
test,603,1.359586929368593,1,0.001658374792703151
test,603,1.3886849021336871,1,0.001658374792703151
test,603,1.390751187099691,1,0.001658374792703151
test,603,1.5172782630478463,1,0.001658374792703151
test,603,1.5415605627224829,1,0.001658374792703151
test,603,1.5417882742907982,1,0.001658374792703151
test,603,1.605825954649038,1,0.001658374792703151
test,603,1.6585947187026753,1,0.001658374792703151
test,603,1.674010507217388,1,0.001658374792703151
test,603,1.7074282833811731,1,0.001658374792703151
test,603,1.756204866159519,1,0.001658374792703151
test,603,1.7751385414450085,1,0.001658374792703151
test,603,1.777476811156081,1,0.001658374792703151
test,603,1.7804525808496443,1,0.001658374792703151
test,603,1.821729055486886,1,0.001658374792703151
test,603,1.8514234610241744,1,0.001658374792703151
test,603,1.86679860140784,1,0.001658374792703151
test,603,1.873140854180872,1,0.001658374792703151
test,603,1.8895669322518884,1,0.001658374792703151
test,603,1.9115975978107065,1,0.001658374792703151
test,603,1.918582629946056,1,0.001658374792703151
test,603,1.9195443728706305,1,0.001658374792703151
test,603,1.926973016499537,1,0.001658374792703151
test,603,1.9683450802017552,1,0.001658374792703151
test,603,1.971059099740416,1,0.001658374792703151
