fold,fold_count,key_note_pitch_class,count,proportion
1,1049,0,88,0.08388941849380362
1,1049,1,96,0.09151572926596759
1,1049,2,98,0.09342230695900858
1,1049,3,88,0.08388941849380362
1,1049,4,77,0.07340324118207817
1,1049,5,106,0.10104861773117255
1,1049,6,88,0.08388941849380362
1,1049,7,75,0.07149666348903717
1,1049,8,77,0.07340324118207817
1,1049,9,80,0.07626310772163966
1,1049,10,92,0.0877025738798856
1,1049,11,84,0.08007626310772163
2,1049,0,90,0.08579599618684461
2,1049,1,86,0.08198284080076262
2,1049,2,88,0.08388941849380362
2,1049,3,94,0.08960915157292659
2,1049,4,91,0.08674928503336511
2,1049,5,79,0.07530981887511916
2,1049,6,94,0.08960915157292659
2,1049,7,78,0.07435653002859867
2,1049,8,93,0.0886558627264061
2,1049,9,91,0.08674928503336511
2,1049,10,76,0.07244995233555768
2,1049,11,89,0.08484270734032412
3,1049,0,70,0.0667302192564347
3,1049,1,80,0.07626310772163966
3,1049,2,86,0.08198284080076262
3,1049,3,85,0.08102955195424213
3,1049,4,97,0.09246901811248807
3,1049,5,77,0.07340324118207817
3,1049,6,99,0.09437559580552907
3,1049,7,90,0.08579599618684461
3,1049,8,95,0.0905624404194471
3,1049,9,91,0.08674928503336511
3,1049,10,88,0.08388941849380362
3,1049,11,91,0.08674928503336511
4,1049,0,87,0.08293612964728313
4,1049,1,86,0.08198284080076262
4,1049,2,78,0.07435653002859867
4,1049,3,98,0.09342230695900858
4,1049,4,100,0.09532888465204957
4,1049,5,91,0.08674928503336511
4,1049,6,85,0.08102955195424213
4,1049,7,75,0.07149666348903717
4,1049,8,95,0.0905624404194471
4,1049,9,87,0.08293612964728313
4,1049,10,77,0.07340324118207817
4,1049,11,90,0.08579599618684461
5,1049,0,74,0.07054337464251668
5,1049,1,88,0.08388941849380362
5,1049,2,86,0.08198284080076262
5,1049,3,74,0.07054337464251668
5,1049,4,100,0.09532888465204957
5,1049,5,86,0.08198284080076262
5,1049,6,101,0.09628217349857006
5,1049,7,78,0.07435653002859867
5,1049,8,102,0.09723546234509056
5,1049,9,96,0.09151572926596759
5,1049,10,80,0.07626310772163966
5,1049,11,84,0.08007626310772163
6,1049,0,97,0.09246901811248807
6,1049,1,89,0.08484270734032412
6,1049,2,95,0.0905624404194471
6,1049,3,92,0.0877025738798856
6,1049,4,92,0.0877025738798856
6,1049,5,86,0.08198284080076262
6,1049,6,72,0.06863679694947569
6,1049,7,72,0.06863679694947569
6,1049,8,90,0.08579599618684461
6,1049,9,92,0.0877025738798856
6,1049,10,94,0.08960915157292659
6,1049,11,78,0.07435653002859867
7,1049,0,88,0.08388941849380362
7,1049,1,82,0.07816968541468064
7,1049,2,79,0.07530981887511916
7,1049,3,74,0.07054337464251668
7,1049,4,94,0.08960915157292659
7,1049,5,75,0.07149666348903717
7,1049,6,106,0.10104861773117255
7,1049,7,87,0.08293612964728313
7,1049,8,86,0.08198284080076262
7,1049,9,100,0.09532888465204957
7,1049,10,89,0.08484270734032412
7,1049,11,89,0.08484270734032412
8,1049,0,84,0.08007626310772163
8,1049,1,98,0.09342230695900858
8,1049,2,92,0.0877025738798856
8,1049,3,87,0.08293612964728313
8,1049,4,88,0.08388941849380362
8,1049,5,86,0.08198284080076262
8,1049,6,83,0.07912297426120114
8,1049,7,96,0.09151572926596759
8,1049,8,76,0.07244995233555768
8,1049,9,107,0.10200190657769304
8,1049,10,82,0.07816968541468064
8,1049,11,70,0.0667302192564347
9,1049,0,96,0.09151572926596759
9,1049,1,86,0.08198284080076262
9,1049,2,79,0.07530981887511916
9,1049,3,81,0.07721639656816015
9,1049,4,85,0.08102955195424213
9,1049,5,89,0.08484270734032412
9,1049,6,85,0.08102955195424213
9,1049,7,109,0.10390848427073403
9,1049,8,79,0.07530981887511916
9,1049,9,75,0.07149666348903717
9,1049,10,101,0.09628217349857006
9,1049,11,84,0.08007626310772163
10,1049,0,75,0.07149666348903717
10,1049,1,99,0.09437559580552907
10,1049,2,96,0.09151572926596759
10,1049,3,89,0.08484270734032412
10,1049,4,69,0.0657769304099142
10,1049,5,90,0.08579599618684461
10,1049,6,96,0.09151572926596759
10,1049,7,83,0.07912297426120114
10,1049,8,89,0.08484270734032412
10,1049,9,85,0.08102955195424213
10,1049,10,91,0.08674928503336511
10,1049,11,87,0.08293612964728313
11,1049,0,102,0.09723546234509056
11,1049,1,91,0.08674928503336511
11,1049,2,91,0.08674928503336511
11,1049,3,88,0.08388941849380362
11,1049,4,69,0.0657769304099142
11,1049,5,86,0.08198284080076262
11,1049,6,89,0.08484270734032412
11,1049,7,83,0.07912297426120114
11,1049,8,91,0.08674928503336511
11,1049,9,77,0.07340324118207817
11,1049,10,96,0.09151572926596759
11,1049,11,86,0.08198284080076262
12,1049,0,89,0.08484270734032412
12,1049,1,103,0.09818875119161105
12,1049,2,85,0.08102955195424213
12,1049,3,78,0.07435653002859867
12,1049,4,93,0.0886558627264061
12,1049,5,96,0.09151572926596759
12,1049,6,77,0.07340324118207817
12,1049,7,81,0.07721639656816015
12,1049,8,78,0.07435653002859867
12,1049,9,87,0.08293612964728313
12,1049,10,95,0.0905624404194471
12,1049,11,87,0.08293612964728313
13,1049,0,86,0.08198284080076262
13,1049,1,71,0.06768350810295519
13,1049,2,76,0.07244995233555768
13,1049,3,93,0.0886558627264061
13,1049,4,83,0.07912297426120114
13,1049,5,98,0.09342230695900858
13,1049,6,82,0.07816968541468064
13,1049,7,94,0.08960915157292659
13,1049,8,88,0.08388941849380362
13,1049,9,85,0.08102955195424213
13,1049,10,94,0.08960915157292659
13,1049,11,99,0.09437559580552907
14,1049,0,87,0.08293612964728313
14,1049,1,93,0.0886558627264061
14,1049,2,97,0.09246901811248807
14,1049,3,88,0.08388941849380362
14,1049,4,77,0.07340324118207817
14,1049,5,91,0.08674928503336511
14,1049,6,93,0.0886558627264061
14,1049,7,90,0.08579599618684461
14,1049,8,89,0.08484270734032412
14,1049,9,72,0.06863679694947569
14,1049,10,85,0.08102955195424213
14,1049,11,87,0.08293612964728313
15,1049,0,87,0.08293612964728313
15,1049,1,88,0.08388941849380362
15,1049,2,85,0.08102955195424213
15,1049,3,90,0.08579599618684461
15,1049,4,98,0.09342230695900858
15,1049,5,77,0.07340324118207817
15,1049,6,88,0.08388941849380362
15,1049,7,86,0.08198284080076262
15,1049,8,81,0.07721639656816015
15,1049,9,79,0.07530981887511916
15,1049,10,94,0.08960915157292659
15,1049,11,96,0.09151572926596759
16,1049,0,91,0.08674928503336511
16,1049,1,72,0.06863679694947569
16,1049,2,87,0.08293612964728313
16,1049,3,89,0.08484270734032412
16,1049,4,87,0.08293612964728313
16,1049,5,88,0.08388941849380362
16,1049,6,91,0.08674928503336511
16,1049,7,92,0.0877025738798856
16,1049,8,80,0.07626310772163966
16,1049,9,104,0.09914204003813155
16,1049,10,79,0.07530981887511916
16,1049,11,89,0.08484270734032412
17,1048,0,95,0.09064885496183206
17,1048,1,83,0.07919847328244274
17,1048,2,82,0.0782442748091603
17,1048,3,83,0.07919847328244274
17,1048,4,83,0.07919847328244274
17,1048,5,89,0.08492366412213741
17,1048,6,89,0.08492366412213741
17,1048,7,97,0.09255725190839695
17,1048,8,92,0.08778625954198473
17,1048,9,86,0.08206106870229007
17,1048,10,83,0.07919847328244274
17,1048,11,86,0.08206106870229007
18,1048,0,85,0.08110687022900763
18,1048,1,77,0.07347328244274809
18,1048,2,86,0.08206106870229007
18,1048,3,93,0.08874045801526717
18,1048,4,87,0.08301526717557252
18,1048,5,83,0.07919847328244274
18,1048,6,81,0.07729007633587787
18,1048,7,101,0.09637404580152671
18,1048,8,93,0.08874045801526717
18,1048,9,92,0.08778625954198473
18,1048,10,90,0.08587786259541984
18,1048,11,80,0.07633587786259542
19,1048,0,88,0.08396946564885496
19,1048,1,86,0.08206106870229007
19,1048,2,79,0.07538167938931298
19,1048,3,102,0.09732824427480916
19,1048,4,90,0.08587786259541984
19,1048,5,99,0.09446564885496182
19,1048,6,81,0.07729007633587787
19,1048,7,84,0.08015267175572519
19,1048,8,77,0.07347328244274809
19,1048,9,80,0.07633587786259542
19,1048,10,78,0.07442748091603053
19,1048,11,104,0.09923664122137404
20,1048,0,89,0.08492366412213741
20,1048,1,94,0.08969465648854962
20,1048,2,103,0.0982824427480916
20,1048,3,82,0.0782442748091603
20,1048,4,88,0.08396946564885496
20,1048,5,76,0.07251908396946564
20,1048,6,68,0.0648854961832061
20,1048,7,97,0.09255725190839695
20,1048,8,97,0.09255725190839695
20,1048,9,82,0.0782442748091603
20,1048,10,84,0.08015267175572519
20,1048,11,88,0.08396946564885496
