fold,fold_count,time_signature_subdivision,count,proportion
1,60,2,8,0.13333333333333333
1,60,4,23,0.3833333333333333
1,60,8,29,0.48333333333333334
2,60,2,8,0.13333333333333333
2,60,4,23,0.3833333333333333
2,60,8,29,0.48333333333333334
3,60,2,8,0.13333333333333333
3,60,4,23,0.3833333333333333
3,60,8,29,0.48333333333333334
4,60,2,8,0.13333333333333333
4,60,4,23,0.3833333333333333
4,60,8,29,0.48333333333333334
5,60,2,8,0.13333333333333333
5,60,4,23,0.3833333333333333
5,60,8,29,0.48333333333333334
6,60,2,8,0.13333333333333333
6,60,4,23,0.3833333333333333
6,60,8,29,0.48333333333333334
7,60,2,8,0.13333333333333333
7,60,4,23,0.3833333333333333
7,60,8,29,0.48333333333333334
8,60,2,8,0.13333333333333333
8,60,4,23,0.3833333333333333
8,60,8,29,0.48333333333333334
9,60,2,8,0.13333333333333333
9,60,4,23,0.3833333333333333
9,60,8,29,0.48333333333333334
10,60,2,8,0.13333333333333333
10,60,4,23,0.3833333333333333
10,60,8,29,0.48333333333333334
11,60,2,7,0.11666666666666667
11,60,4,22,0.36666666666666664
11,60,8,31,0.5166666666666666
12,60,2,7,0.11666666666666667
12,60,4,22,0.36666666666666664
12,60,8,31,0.5166666666666666
13,60,2,7,0.11666666666666667
13,60,4,22,0.36666666666666664
13,60,8,31,0.5166666666666666
14,60,2,7,0.11666666666666667
14,60,4,22,0.36666666666666664
14,60,8,31,0.5166666666666666
15,60,2,7,0.11666666666666667
15,60,4,22,0.36666666666666664
15,60,8,31,0.5166666666666666
16,60,2,7,0.11666666666666667
16,60,4,22,0.36666666666666664
16,60,8,31,0.5166666666666666
17,60,2,7,0.11666666666666667
17,60,4,22,0.36666666666666664
17,60,8,31,0.5166666666666666
18,60,2,7,0.11666666666666667
18,60,4,22,0.36666666666666664
18,60,8,31,0.5166666666666666
19,60,2,7,0.11666666666666667
19,60,4,22,0.36666666666666664
19,60,8,31,0.5166666666666666
20,60,2,7,0.11666666666666667
20,60,4,22,0.36666666666666664
20,60,8,31,0.5166666666666666
