set_type,set_type_count,name,count,proportion
test,5961,A#_10_DOWN_0_Acoustic_Grand_Piano,1,0.00016775708773695687
test,5961,A#_10_DOWN_11_Vibraphone,1,0.00016775708773695687
test,5961,A#_10_DOWN_13_Xylophone,1,0.00016775708773695687
test,5961,A#_10_DOWN_18_Rock_Organ,1,0.00016775708773695687
test,5961,A#_10_DOWN_24_Acoustic_Nylon_Guitar,1,0.00016775708773695687
test,5961,A#_10_DOWN_29_Overdriven_Guitar,1,0.00016775708773695687
test,5961,A#_10_DOWN_38_Synth_Bass_1,1,0.00016775708773695687
test,5961,A#_10_DOWN_39_Synth_Bass_2,1,0.00016775708773695687
test,5961,A#_10_DOWN_40_Violin,1,0.00016775708773695687
test,5961,A#_10_DOWN_42_Cello,1,0.00016775708773695687
test,5961,"A#_10_DOWN_53_Choir_""Ooh""",1,0.00016775708773695687
test,5961,A#_10_DOWN_75_Pan_Flute,1,0.00016775708773695687
test,5961,A#_10_UNISON_10_Music_Box,1,0.00016775708773695687
test,5961,A#_10_UNISON_13_Xylophone,1,0.00016775708773695687
test,5961,A#_10_UNISON_17_Percussive_Organ,1,0.00016775708773695687
test,5961,A#_10_UNISON_18_Rock_Organ,1,0.00016775708773695687
test,5961,A#_10_UNISON_25_Acoustic_Steel_Guitar,1,0.00016775708773695687
test,5961,A#_10_UNISON_28_Electric_Muted_Guitar,1,0.00016775708773695687
test,5961,A#_10_UNISON_59_Muted_Trumpet,1,0.00016775708773695687
test,5961,A#_10_UNISON_70_Bassoon,1,0.00016775708773695687
test,5961,A#_10_UNISON_71_Clarinet,1,0.00016775708773695687
test,5961,A#_10_UNISON_81_Sawtooth_Wave_Lead,1,0.00016775708773695687
test,5961,A#_10_UNISON_84_Charang_Lead,1,0.00016775708773695687
test,5961,A#_10_UNISON_91_Choir_Pad,1,0.00016775708773695687
test,5961,A#_10_UP_104_Sitar,1,0.00016775708773695687
test,5961,A#_10_UP_107_Koto,1,0.00016775708773695687
test,5961,A#_10_UP_109_Bagpipe,1,0.00016775708773695687
test,5961,A#_10_UP_10_Music_Box,1,0.00016775708773695687
test,5961,A#_10_UP_12_Marimba,1,0.00016775708773695687
test,5961,A#_10_UP_13_Xylophone,1,0.00016775708773695687
test,5961,A#_10_UP_1_Bright_Acoustic_Piano,1,0.00016775708773695687
test,5961,A#_10_UP_24_Acoustic_Nylon_Guitar,1,0.00016775708773695687
test,5961,A#_10_UP_37_Slap_Bass_2,1,0.00016775708773695687
test,5961,A#_10_UP_41_Viola,1,0.00016775708773695687
test,5961,A#_10_UP_49_String_Ensemble_2,1,0.00016775708773695687
test,5961,A#_10_UP_75_Pan_Flute,1,0.00016775708773695687
test,5961,A#_11_DOWN_16_Hammond_Organ,1,0.00016775708773695687
test,5961,A#_11_DOWN_28_Electric_Muted_Guitar,1,0.00016775708773695687
test,5961,A#_11_DOWN_33_Fingered_Electric_Bass,1,0.00016775708773695687
test,5961,A#_11_DOWN_34_Plucked_Electric_Bass,1,0.00016775708773695687
test,5961,A#_11_DOWN_35_Fretless_Bass,1,0.00016775708773695687
