set_type,set_type_count,midi_program_name,count,proportion
test,3144,Acoustic Bass,37,0.011768447837150128
test,3144,Acoustic Grand Piano,34,0.010814249363867686
test,3144,Acoustic Nylon Guitar,33,0.01049618320610687
test,3144,Acoustic Steel Guitar,39,0.012404580152671757
test,3144,Alto Sax,28,0.008905852417302799
test,3144,Bagpipe,37,0.011768447837150128
test,3144,Banjo,34,0.010814249363867686
test,3144,Baritone Sax,34,0.010814249363867686
test,3144,Bass Lead,31,0.009860050890585243
test,3144,Bassoon,29,0.009223918575063614
test,3144,Bottle Blow,36,0.011450381679389315
test,3144,Bowed Pad,35,0.0111323155216285
test,3144,Brass Section,32,0.010178117048346057
test,3144,Bright Acoustic Piano,35,0.0111323155216285
test,3144,Calliope Lead,32,0.010178117048346057
test,3144,Cello,37,0.011768447837150128
test,3144,Charang Lead,42,0.0133587786259542
test,3144,Chiff Lead,33,0.01049618320610687
test,3144,"Choir ""Aah""",27,0.008587786259541985
test,3144,"Choir ""Ooh""",33,0.01049618320610687
test,3144,Choir Pad,37,0.011768447837150128
test,3144,Chorused Piano,39,0.012404580152671757
test,3144,Church Organ,31,0.009860050890585243
test,3144,Clarinet,32,0.010178117048346057
test,3144,Clavinet,38,0.012086513994910942
test,3144,Contrabass,50,0.015903307888040712
test,3144,Distortion Guitar,41,0.013040712468193385
test,3144,Dulcimer,25,0.007951653944020356
test,3144,Electric Clean Guitar,34,0.010814249363867686
test,3144,Electric Grand Piano,45,0.014312977099236643
test,3144,Electric Jazz Guitar,29,0.009223918575063614
test,3144,Electric Muted Guitar,30,0.009541984732824428
test,3144,English Horn,32,0.010178117048346057
test,3144,Fiddle,38,0.012086513994910942
test,3144,Fingered Electric Bass,35,0.0111323155216285
test,3144,Flute,30,0.009541984732824428
test,3144,French Horn,36,0.011450381679389315
test,3144,Fretless Bass,31,0.009860050890585243
test,3144,Halo Pad,28,0.008905852417302799
test,3144,Hammond Organ,30,0.009541984732824428
test,3144,Harpsichord,37,0.011768447837150128
test,3144,Honky-tonk Piano,36,0.011450381679389315
test,3144,Kalimba,48,0.015267175572519085
test,3144,Koto,32,0.010178117048346057
test,3144,Marimba,38,0.012086513994910942
test,3144,Metallic Pad,28,0.008905852417302799
test,3144,Music Box,19,0.006043256997455471
test,3144,Muted Trumpet,29,0.009223918575063614
test,3144,New Age Pad,35,0.0111323155216285
test,3144,Oboe,28,0.008905852417302799
test,3144,Ocarina,40,0.012722646310432571
test,3144,Orchestral Harp,28,0.008905852417302799
test,3144,Overdriven Guitar,42,0.0133587786259542
test,3144,Pan Flute,32,0.010178117048346057
test,3144,Percussive Organ,48,0.015267175572519085
test,3144,Piccolo,30,0.009541984732824428
test,3144,Pizzicato Strings,33,0.01049618320610687
test,3144,Plucked Electric Bass,29,0.009223918575063614
test,3144,Polysynth Pad,28,0.008905852417302799
test,3144,Recorder,33,0.01049618320610687
test,3144,Reed Organ,32,0.010178117048346057
test,3144,Rhodes Piano,35,0.0111323155216285
test,3144,Rock Organ,39,0.012404580152671757
test,3144,Sawtooth Wave Lead,43,0.013676844783715014
test,3144,Shamisen,36,0.011450381679389315
test,3144,Shanai,29,0.009223918575063614
test,3144,Sitar,35,0.0111323155216285
test,3144,Slap Bass 1,30,0.009541984732824428
test,3144,Slap Bass 2,40,0.012722646310432571
test,3144,Soprano Sax,32,0.010178117048346057
test,3144,Square Wave Lead,31,0.009860050890585243
