set_type,set_type_count,midi_program_name,count,proportion
test,2316,Acoustic Bass,31,0.013385146804835924
test,2316,Acoustic Grand Piano,30,0.012953367875647668
test,2316,Acoustic Nylon Guitar,24,0.010362694300518133
test,2316,Acoustic Steel Guitar,25,0.01079447322970639
test,2316,Alto Sax,22,0.009499136442141624
test,2316,Bagpipe,18,0.007772020725388601
test,2316,Banjo,22,0.009499136442141624
test,2316,Baritone Sax,28,0.012089810017271156
test,2316,Bass Lead,24,0.010362694300518133
test,2316,Bassoon,19,0.008203799654576856
test,2316,Bottle Blow,28,0.012089810017271156
test,2316,Bowed Pad,24,0.010362694300518133
test,2316,Brass Section,27,0.011658031088082901
test,2316,Bright Acoustic Piano,14,0.006044905008635578
test,2316,Calliope Lead,29,0.012521588946459413
test,2316,Cello,32,0.013816925734024179
test,2316,Charang Lead,31,0.013385146804835924
test,2316,Chiff Lead,30,0.012953367875647668
test,2316,"Choir ""Aah""",28,0.012089810017271156
test,2316,"Choir ""Ooh""",25,0.01079447322970639
test,2316,Choir Pad,30,0.012953367875647668
test,2316,Chorused Piano,25,0.01079447322970639
test,2316,Church Organ,22,0.009499136442141624
test,2316,Clarinet,22,0.009499136442141624
test,2316,Clavinet,30,0.012953367875647668
test,2316,Contrabass,22,0.009499136442141624
test,2316,Distortion Guitar,26,0.011226252158894645
test,2316,Dulcimer,20,0.008635578583765112
test,2316,Electric Clean Guitar,23,0.009930915371329879
test,2316,Electric Grand Piano,25,0.01079447322970639
test,2316,Electric Jazz Guitar,28,0.012089810017271156
test,2316,Electric Muted Guitar,18,0.007772020725388601
test,2316,English Horn,25,0.01079447322970639
test,2316,Fiddle,28,0.012089810017271156
test,2316,Fingered Electric Bass,33,0.014248704663212434
test,2316,Flute,17,0.007340241796200345
test,2316,French Horn,28,0.012089810017271156
test,2316,Fretless Bass,23,0.009930915371329879
test,2316,Halo Pad,26,0.011226252158894645
test,2316,Hammond Organ,19,0.008203799654576856
test,2316,Harpsichord,25,0.01079447322970639
test,2316,Honky-tonk Piano,27,0.011658031088082901
test,2316,Kalimba,27,0.011658031088082901
test,2316,Koto,28,0.012089810017271156
test,2316,Marimba,29,0.012521588946459413
test,2316,Metallic Pad,25,0.01079447322970639
test,2316,Music Box,24,0.010362694300518133
test,2316,Muted Trumpet,20,0.008635578583765112
test,2316,New Age Pad,30,0.012953367875647668
test,2316,Oboe,19,0.008203799654576856
test,2316,Ocarina,23,0.009930915371329879
test,2316,Orchestral Harp,24,0.010362694300518133
test,2316,Overdriven Guitar,23,0.009930915371329879
test,2316,Pan Flute,29,0.012521588946459413
test,2316,Percussive Organ,19,0.008203799654576856
test,2316,Piccolo,26,0.011226252158894645
test,2316,Pizzicato Strings,27,0.011658031088082901
test,2316,Plucked Electric Bass,24,0.010362694300518133
test,2316,Polysynth Pad,30,0.012953367875647668
test,2316,Recorder,19,0.008203799654576856
test,2316,Reed Organ,22,0.009499136442141624
test,2316,Rhodes Piano,26,0.011226252158894645
test,2316,Rock Organ,20,0.008635578583765112
test,2316,Sawtooth Wave Lead,19,0.008203799654576856
test,2316,Shamisen,35,0.015112262521588945
test,2316,Shanai,29,0.012521588946459413
test,2316,Sitar,24,0.010362694300518133
test,2316,Slap Bass 1,27,0.011658031088082901
test,2316,Slap Bass 2,19,0.008203799654576856
test,2316,Soprano Sax,17,0.007340241796200345
test,2316,Square Wave Lead,29,0.012521588946459413
test,2316,String Ensemble 1,22,0.009499136442141624
test,2316,String Ensemble 2,20,0.008635578583765112
test,2316,Sweep Pad,27,0.011658031088082901
test,2316,Synth Bass 1,24,0.010362694300518133
test,2316,Synth Bass 2,26,0.011226252158894645
test,2316,Synth Brass 1,30,0.012953367875647668
test,2316,Synth Brass 2,26,0.011226252158894645
test,2316,Synth Strings 1,27,0.011658031088082901
test,2316,Synth Strings 2,27,0.011658031088082901
test,2316,Synth Voice,33,0.014248704663212434
test,2316,Tenor Sax,27,0.011658031088082901
test,2316,Tremolo Strings,30,0.012953367875647668
test,2316,Trombone,34,0.01468048359240069
test,2316,Trumpet,25,0.01079447322970639
test,2316,Tuba,22,0.009499136442141624
test,2316,Vibraphone,26,0.011226252158894645
test,2316,Viola,26,0.011226252158894645
test,2316,Violin,23,0.009930915371329879
test,2316,Voice Lead,27,0.011658031088082901
test,2316,Warm Pad,24,0.010362694300518133
test,2316,Xylophone,24,0.010362694300518133
train,10822,Acoustic Bass,115,0.010626501570874145
train,10822,Acoustic Grand Piano,117,0.01081131029384587
train,10822,Acoustic Nylon Guitar,112,0.01034928848641656
train,10822,Acoustic Steel Guitar,114,0.010534097209388284
train,10822,Alto Sax,121,0.011180927739789319
train,10822,Bagpipe,119,0.010996119016817595
train,10822,Banjo,121,0.011180927739789319
train,10822,Baritone Sax,119,0.010996119016817595
train,10822,Bass Lead,122,0.011273332101275181
train,10822,Bassoon,126,0.01164294954721863
train,10822,Bottle Blow,113,0.01044169284790242
train,10822,Bowed Pad,114,0.010534097209388284
train,10822,Brass Section,114,0.010534097209388284
train,10822,Bright Acoustic Piano,128,0.011827758270190353
train,10822,Calliope Lead,120,0.011088523378303456
train,10822,Cello,108,0.00997967104047311
train,10822,Charang Lead,116,0.010718905932360008
train,10822,Chiff Lead,105,0.009702457956015525
train,10822,"Choir ""Aah""",109,0.010072075401958973
train,10822,"Choir ""Ooh""",115,0.010626501570874145
train,10822,Choir Pad,111,0.010256884124930697
train,10822,Chorused Piano,121,0.011180927739789319
train,10822,Church Organ,128,0.011827758270190353
train,10822,Clarinet,116,0.010718905932360008
train,10822,Clavinet,117,0.01081131029384587
train,10822,Contrabass,119,0.010996119016817595
train,10822,Distortion Guitar,122,0.011273332101275181
train,10822,Dulcimer,119,0.010996119016817595
train,10822,Electric Clean Guitar,121,0.011180927739789319
train,10822,Electric Grand Piano,116,0.010718905932360008
train,10822,Electric Jazz Guitar,112,0.01034928848641656
